
Broad Commodity Group,"CPI
Weight","% Change on
last month
(Dec 2014/ Nov
2014)","% Change on same
month of
previous year
(Dec 2014/ Dec
2013)",2014,December,,,
Food & Non-Alcoholic Beverages,36.04,0.71,7.71,2014,December,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.07,1.89,2014,December,,,
Clothing & Footwear,7.43,0.56,4.40,2014,December,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.30,-0.06,4.45,2014,December,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.37,4.49,2014,December,,,
Health,3.13,0.39,5.47,2014,December,,,
Transport,8.66,0.91,8.88,2014,December,,,
Communication,3.82,0.06,0.49,2014,December,,,
Recreation & Culture,2.25,0.28,5.94,2014,December,,,
Education,3.14,0.00,5.31,2014,December,,,
Restaurant & Hotels,4.48,0.31,6.08,2014,December,,,
Miscellaneous Goods & Services,4.52,0.50,4.53,2014,December,,,
Total,100.00,0.43,6.02,2014,December,,,
Commodity Name,"Units of
Measure","Average
Price
December
2013","Average
Price
November
2014",2014,December,"Average
Price
December
2014","%
Change
on last
month","%
change
on same
month
last year"
Beef With Bones,1 Kg,354.4,380.1,2014,December,386.66,1.7,9.1
Chicken,1 Kg,513.74,514.87,2014,December,530.07,3.0,3.2
Mutton/Goat Meat,1 Kg,422.74,444.78,2014,December,450.74,1.3,6.6
Cabbages,1 Kg,50.25,28.37,2014,December,29.14,2.7,-42.0
Offals (Matumbo),1 Kg,210.21,225.21,2014,December,230.97,2.6,9.9
Tomatoes,1 Kg,67.05,83.3,2014,December,83.89,0.7,25.1
Onions,1 Kg,107.92,90.54,2014,December,91.81,1.4,-14.9
Potatoes (Irish),1 Kg,51.21,46.46,2014,December,46.39,-0.2,-9.4
Fresh Unpacketed Milk,1000 ml,56.48,54.61,2014,December,54.51,-0.2,-3.5
Maize Grain - Loose,1 Kg,43.58,43.09,2014,December,42.57,-1.2,-2.3
Maize Flour - Loose,1 Kg,56.91,46.98,2014,December,45.77,-2.6,-19.6
Fresh Packeted Milk,500 Ml,53.83,49.18,2014,December,48.87,-0.6,-9.2
Charcoal,4 Kg,72.8,73.65,2014,December,73.59,-0.1,1.1
Kerosene,1 litre,83.93,77.24,2014,December,72.3,-6.4,-13.9
Gas(LPG),13 Kg,"2,876","3,033.28",2014,December,"3,018.45",-0.5,5.0
Electricity,50 KW/h,517.2,554.6,2014,December,521.54,-6.0,0.8
Diesel,1 litre,105.39,97.84,2014,December,91.79,-6.2,-12.9
Petrol,1 litre,110.82,108.54,2014,December,102.86,-5.2,-7.2
