
Broad Commodity Group,"CPI
Weight","% Change on
last month
(Oct 2014/
Sept 2014)","% Change on
same month of
previous year
(Oct 2014/ Oct
2013)",2014,October,,,
Food & Non-Alcoholic Beverages,36.04,-0.45,8.16,2014,October,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,-0.01,2.01,2014,October,,,
Clothing & Footwear,7.43,0.28,4.62,2014,October,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,-0.23,5.42,2014,October,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.16,4.24,2014,October,,,
Health,3.13,0.22,5.31,2014,October,,,
Transport,8.66,-0.29,10.11,2014,October,,,
Communication,3.82,0.01,0.43,2014,October,,,
Recreation & Culture,2.25,0.10,5.57,2014,October,,,
Education,3.14,0.00,5.38,2014,October,,,
Restaurant & Hotels,4.48,0.58,6.15,2014,October,,,
Miscellaneous Goods & Services,4.52,0.33,3.92,2014,October,,,
Total,100.00,-0.21,6.43,2014,October,,,
Commodity Name,"Units of
Measure","Average
Price
October
2013","Average
Price
September
2014",2014,October,"Average
Price
October
2014","%
Change
on last
month","% change
on same
month
last year"
Maize Grain,1 Kg,43.35,44.71,2014,October,44.46,-0.55,2.57
LKoaoles-eS ukuma Wiki,1 Kg,44.74,30.27,2014,October,30.25,-0.06,-32.38
Packeted Fresh,500Ml,54.44,48.83,2014,October,48.85,0.04,-10.27
MSifitlekd P Macakieztee dFl our,2 Kg,111.44,115.79,2014,October,110.57,-4.51,-0.78
Carrots,1 Kg,91.01,50.42,2014,October,50.88,0.90,-44.10
Cabbages,1 Kg,50.49,33.24,2014,October,30.83,-7.26,-38.94
Potatoes (Irish),1 Kg,49.82,44.73,2014,October,45.20,1.04,-9.27
Wheat Flour,2 Kg,134.37,133.13,2014,October,130.30,-2.13,-3.03
Beef with bones,1 Kg,349.24,375.98,2014,October,376.92,0.25,7.93
Onions,1 Kg,105.76,92.87,2014,October,89.96,-3.14,-14.93
Spinach,1 Kg,44.69,40.34,2014,October,40.24,-0.25,-9.96
Gas LPG,13 Kg,"2,835.20","3,111.74",2014,October,"3,068.58",-1.39,8.23
Kerosene,1 litre,85.87,82.33,2014,October,81.81,-0.63,-4.73
Petrol,1 litre,8 151.837.0 7,113.7,2014,October,111.72,-1.74,-1.19
Diesel,1 litre,105.38,104.82,2014,October,101.59,-3.08,-3.59
