
Broad Commodity Group,"CPI
Weight","% Change on
last month
(Sept 2014/
Aug 2014)","% Change on
same month of
previous year
(Sept 2014/
Sept 2013)",2014,September,,,
Food & Non-Alcoholic Beverages,36.04,0.58,8.40,2014,September,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.15,2.25,2014,September,,,
Clothing & Footwear,7.43,0.13,4.47,2014,September,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,-0.52,5.50,2014,September,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.22,4.43,2014,September,,,
Health,3.13,0.13,5.17,2014,September,,,
Transport,8.66,-0.41,10.37,2014,September,,,
Communication,3.82,0.07,0.50,2014,September,,,
Recreation & Culture,2.25,0.11,5.84,2014,September,,,
Education,3.14,0.00,5.38,2014,September,,,
Restaurant & Hotels,4.48,0.21,5.81,2014,September,,,
Miscellaneous Goods & Services,4.52,0.22,3.85,2014,September,,,
Total,100.00,0.15,6.60,2014,September,,,
Commodity Name,"Units of
Measure","Average
Price
September
2013","Average
Price
August
2014",2014,September,"Average
Price
September
2014","%
change
on last
month","%
change
on same
month
last year"
Maize Grain - Loose,1 Kg,43.06,46.61,2014,September,44.71,-4.1,3.8
Onions,1 Kg,106.82,96.74,2014,September,92.87,-4.0,-13.1
Kale-Sukuma Wiki,1 Kg,45.31,30.44,2014,September,30.27,-0.6,-33.2
Maize Flour - Loose,1 Kg,57.11,50.15,2014,September,48.85,-2.6,-14.5
Carrots,1 Kg,88.73,48.7,2014,September,50.42,3.5,-43.2
Cabbages,1 Kg,51.13,31.27,2014,September,33.24,6.3,-35.0
Potatoes (Irish),1 Kg,49.49,43.48,2014,September,44.73,2.9,-9.6
Electricity,50 Kwh,603.7,689.5,2014,September,608.5,-11.7,0.8
Electricity,200 Kwh,"3,143.20","3,913.00",2014,September,"3,589.00",-8.3,14.2
Gas Lpg,13 Kg,"2,836.67","3,109.67",2014,September,"3,111.74",0.1,9.7
Kerosene,1 litre,86.39,83.97,2014,September,82.33,-2.0,-4.7
Charcoal,4 Kg,70.97,73.52,2014,September,73.39,-0.2,3.4
Petrol,1 litre,114.27,117.3,2014,September,113.7,-3.1,-0.5
Diesel,1 litre,105.97,105.45,2014,September,104.82,-0.6,-1.1
