
Broad Commodity Group,"CPI
Weight","% Change on
last month
(Apr 2015/
Mar 2015)","% Change on
same month of
previous year
(Apr 2015/ Apr
2014)",2015,April,,,
Food & Non-Alcoholic Beverages,36.04,3.92,13.42,2015,April,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.53,2.16,2015,April,,,
Clothing & Footwear,7.43,0.23,4.40,2015,April,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,0.23,2.81,2015,April,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.39,4.48,2015,April,,,
Health,3.13,0.07,4.04,2015,April,,,
Transport,8.66,0.00,-0.81,2015,April,,,
Communication,3.82,0.02,0.61,2015,April,,,
Recreation & Culture,2.25,0.03,3.06,2015,April,,,
Education,3.14,0.00,3.92,2015,April,,,
Restaurant & Hotels,4.48,0.57,5.10,2015,April,,,
Miscellaneous Goods & Services,4.52,0.51,4.23,2015,April,,,
Total,100.00,1.82,7.08,2015,April,,,
Commodity Name,"Units of
Measure","Average
Price
April
2014","Average
Price
March
2015",2015,April,"Average
Price
April
2015","%
Change
on last
month","% change
on same
month
last year"
Maize Flour - Sifted,2 Kg,114.47,94.38,2015,April,106.90,13.27,-6.62
Potatoes (Irish),1 Kg,54.28,53.16,2015,April,63.61,19.66,17.18
Tomatoes,1 Kg,104.73,99.47,2015,April,112.91,13.51,7.81
Milk - Fresh Packeted,500 Ml,51.94,51.42,2015,April,53.46,3.98,2.92
Maize Grain - Loose,1 Kg,45.38,39.93,2015,April,43.60,9.19,-3.93
Milk - Fresh Unpacketed,1000 Ml,55.87,57.04,2015,April,58.83,3.14,5.30
Cabbages,1 Kg,52.77,44.38,2015,April,49.26,11.01,-6.65
Beans,1 Kg,102.00,108.22,2015,April,114.38,5.69,12.13
Onions,1 Kg,117.95,98.64,2015,April,104.43,5.87,-11.46
Sugar,1 Kg,107.88,105.57,2015,April,104.29,-1.21,-3.33
Charcoal,4 Kg,72.99,73.39,2015,April,74.66,1.72,2.29
Kerosene,1 litre,83.92,56.71,2015,April,58.17,2.58,-30.68
Electricity,50 KW/h,513.70,494.28,2015,April,493.12,-0.23,-4.01
Electricity,200 KW/h,2783.20,3400.44,2015,April,3395.80,-0.14,22.01
Diesel,1 litre,105.69,77.16,2015,April,78.44,1.66,-25.78
