
Broad Commodity Group,"CPI
Weight","% Change on
last month
(August
2015/ July
2015)","% Change on
same month of
previous year
(August 2015/
August 2014)",2015,August,,,
Food & Non-Alcoholic Beverages,36.04,-0.26,9.93,2015,August,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.19,3.25,2015,August,,,
Clothing & Footwear,7.43,0.19,4.76,2015,August,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,0.76,2.66,2015,August,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.22,4.10,2015,August,,,
Health,3.13,0.15,4.96,2015,August,,,
Transport,8.66,1.42,-1.79,2015,August,,,
Communication,3.82,0.02,1.20,2015,August,,,
Recreation & Culture,2.25,0.10,3.01,2015,August,,,
Education,3.14,0.08,3.94,2015,August,,,
Restaurant & Hotels,4.48,0.00,5.03,2015,August,,,
Miscellaneous Goods & Services,4.52,0.09,5.08,2015,August,,,
Total,100.00,0.21,5.84,2015,August,,,
"Commodity
Name","Units of
Measure","Average
Price
August
2014","Average
Price
July
2015",2015,August,"Average
Price
August
2015","%
Change
on last
month","%
change
on
same
month
last
year"
"Beef With
Bones",1 Kg,373.67,393.58,2015,August,394.70,0.28,5.63
"Sifted Maize
Flour",2 Kg,116.94,113.00,2015,August,115.13,1.89,-1.55
Wheat Flour,2 Kg,135.02,126.67,2015,August,130.93,3.36,-3.03
Maize grain,1 Kg,46.61,45.18,2015,August,44.85,-0.73,-3.77
"Potatoes
(Irish)",1 Kg,43.48,63.25,2015,August,60.57,-4.24,39.30
"Kale-Sukuma
Wiki",1 Kg,30.44,37.74,2015,August,37.13,-1.63,21.98
Tomatoes,1 Kg,101.45,111.34,2015,August,107.53,-3.42,5.99
Spinach,1 Kg,40.25,46.51,2015,August,44.87,-3.53,11.47
Onions,1 Kg,96.74,119.65,2015,August,117.85,-1.51,21.82
Carrots,1 Kg,48.70,85.00,2015,August,81.01,-4.70,66.35
"Commodity
Name","Units of
Measure","Average
Price
August
2014","Average
Price
July
2015",2015,August,"Average
Price
August
2015","%
Change
on last
month","%
change
on
same
month
last
year"
Charcoal,4 Kg tin,73.52,77.53,2015,August,77.56,0.04,5.49
Gas - (LPG),13 Kg,"3,109.67","2,376.22",2015,August,"2,374.92",-0.05,-23.63
Electricity,50 KW/h,689.50,507.62,2015,August,605.64,19.31,-12.16
Electricity,200 KW/h,"3,913.00","3,291.98",2015,August,"3,684.06",11.91,-5.85
Kerosene,1 litre,83.97,63.69,2015,August,58.94,-7.47,-29.82
Petrol,1 litre,117.30,99.45,2015,August,103.50,4.07,-11.77
Diesel,1 litre,105.45,85.51,2015,August,84.30,-1.41,-20.06
"Country Bus
Fares","About 350
Km",951.91,925.94,2015,August,937.14,1.21,-1.55
