
Broad Commodity Group,"CPI
Weight","% Change on
last month
(Dec 2015/
Nov 2015)","% Change on same month
of
previous year
(Dec2015/ Dec 2014)",2015,December,,,
"Food & Non-Alcoholic
Beverages",36.04,1.23,13.26,2015,December,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,11.46,15.00,2015,December,,,
Clothing & Footwear,7.43,1.05,5.04,2015,December,,,
"Housing, Water, Electricity,
Gas and other Fuels",18.30,0.55,4.81,2015,December,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.38,4.86,2015,December,,,
Health,3.13,0.08,4.67,2015,December,,,
Transport,8.66,1.48,-0.69,2015,December,,,
Communication,3.82,0.25,1.34,2015,December,,,
Recreation & Culture,2.25,0.11,2.35,2015,December,,,
Education,3.14,0.00,4.06,2015,December,,,
Restaurant & Hotels,4.48,0.95,5.29,2015,December,,,
"Miscellaneous Goods &
Services",4.52,0.91,4.97,2015,December,,,
Total,100.00,1.07,8.01,2015,December,,,
"Commodity
Name","Units of
Measure","Average
Price
December
2014","Average
Price
November
2015",2015,December,"Average
Price
December
2015","%
Change
on last
month","% change
on same
month last
year"
Avocado,1 Kg,41.31,50.07,2015,December,52.93,5.71,28.11
"Beef - With
Bones",1 Kg,386.66,395.65,2015,December,397.09,0.36,2.70
Tomatoes,1 Kg,83.89,107.56,2015,December,125.60,16.77,49.72
"Sukuma
Wiki (Kales)",1 Kg,31.23,37.47,2015,December,37.07,-1.06,18.71
Cigarettes,1 Packet,96.42,98.82,2015,December,121.18,22.63,25.68
Beer,500 Ml,136.15,136.08,2015,December,155.66,14.38,14.33
House rent,"One
room","3,627.20","3,868.95",2015,December,"3,934.28",1.69,8.47
Gas - (LPG),13 Kg,"3,018.45","2,386.66",2015,December,"2,369.46",-0.72,-21.50
Electricity,50 KWh,521.54,545.90,2015,December,542.42,-0.64,4.00
Kerosene,1 litre,72.30,55.77,2015,December,54.23,-2.76,-24.99
"Country Bus
Fares","About
350 Km",972.58,945.10,2015,December,964.09,2.01,-0.87
Matatu Fares,"About
250 Km",405.29,385.79,2015,December,398.90,3.40,-1.58
Petrol,1 litre,102.86,91.34,2015,December,90.94,-0.44,-11.59
Diesel,1 litre,91.79,80.61,2015,December,79.47,-1.42,-13.43
