
Broad Commodity Group,"CPI
Weight","% Change on
last month
(Feb 2015/
Jan 2015)","% Change on
same month of
previous year
(Feb 2015/ Feb
2014)",2015,February,,,
Food & Non-Alcoholic Beverages,36.04,1.32,8.70,2015,February,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.55,2.12,2015,February,,,
Clothing & Footwear,7.43,0.26,4.53,2015,February,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,-0.12,3.27,2015,February,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.34,4.44,2015,February,,,
Health,3.13,0.27,4.84,2015,February,,,
Transport,8.66,-1.56,3.42,2015,February,,,
Communication,3.82,0.03,0.58,2015,February,,,
Recreation & Culture,2.25,0.55,3.35,2015,February,,,
Education,3.14,0.35,4.16,2015,February,,,
Restaurant & Hotels,4.48,0.53,5.23,2015,February,,,
Miscellaneous Goods & Services,4.52,0.13,4.25,2015,February,,,
Total,100.00,0.46,5.61,2015,February,,,
Commodity Name,"Units of
Measure","Average
Price
February
2014","Average
Price
January
2015",2015,February,"Average
Price
February
2015","%
Change
on last
month","% change
on same
month
last year"
Kale-Sukuma Wiki,1 Kg,44.11,32.97,2015,February,37.58,13.98,-14.79
Cabbages,1 Kg,51.47,32.56,2015,February,37.29,14.55,-27.55
Tomatoes,1 Kg,87.49,90.06,2015,February,95.28,5.80,8.90
Fresh Packeted Milk,500 Ml,53.78,49.00,2015,February,50.21,2.47,-6.63
"Fresh Unpacketed
Milk",1000 ml,55.94,54.75,2015,February,55.63,1.60,-0.55
Carrots,1 Kg,89.36,55.25,2015,February,60.78,10.01,-31.98
Mangoes,1 Kg,60.04,74.62,2015,February,71.77,-3.82,19.53
Wheat Flour,2 Kg,137.51,134.02,2015,February,128.66,-4.00,-6.44
Maize Grain - Loose,1 Kg,44.46,42.18,2015,February,40.43,-4.15,-9.07
Maize Flour - Sifted,2 Kg,113.22,100.93,2015,February,98.83,-2.08,-12.71
Electricity,50 KW/h,515.7,502.40,2015,February,508.20,1.15,-1.45
Electricity,"200
KW/h",2791.2,"3,432.92",2015,February,"3,456.12",0.68,23.82
Kerosene,1 litre,83.83,66.53,2015,February,53.37,-19.78,-36.34
Gas (LPG),13 Kg,"3,027.03","2,954.36",2015,February,"2,846.53",-3.65,-5.96
Diesel,1 litre,106.92,84.30,2015,February,76.49,-9.26,-28.46
Country Bus Fares,350 Km,902.61,964.01,2015,February,949.67,-1.49,5.21
Matatu Fares,250 Km,365.55,403.45,2015,February,399.92,-0.87,9.40
Petrol,1 litre,112.73,93.75,2015,February,85.60,-8.69,-24.07
