
Broad Commodity Group,"CPI
Weight","% Change on
last month
(Jan 2015/
Dec 2014)","% Change on
same month of
previous year
(Jan 2015/ Jan
2014)",2015,January,,,
Food & Non-Alcoholic Beverages,36.04,0.96,7.67,2015,January,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.47,1.87,2015,January,,,
Clothing & Footwear,7.43,0.55,4.36,2015,January,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,0.55,4.11,2015,January,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.42,4.54,2015,January,,,
Health,3.13,0.89,4.96,2015,January,,,
Transport,8.66,-1.39,5.31,2015,January,,,
Communication,3.82,0.06,0.50,2015,January,,,
Recreation & Culture,2.25,0.51,3.44,2015,January,,,
Education,3.14,3.28,4.88,2015,January,,,
Restaurant & Hotels,4.48,0.07,4.92,2015,January,,,
Miscellaneous Goods & Services,4.52,0.29,4.31,2015,January,,,
Total,100.00,0.61,5.53,2015,January,,,
Commodity Name,"Units of
Measure","Average
Price
January
2014","Average
Price
December
2014",2015,January,"Average
Price
January
2015","%
Change
on last
month","% change
on same
month last
year"
Beef With Bones,1 Kg,355.98,386.66,2015,January,387.96,0.3,9.0
Cabbages,1 Kg,51.70,29.14,2015,January,32.56,11.7,-37.0
"Sukuma Wiki
(Kales)",1 Kg,45.01,31.23,2015,January,32.97,5.6,-26.7
Tomatoes,1 Kg,81.28,83.89,2015,January,90.06,7.4,10.8
Onions,1 Kg,114.53,91.81,2015,January,94.24,2.6,-17.7
Potatoes (Irish),1 Kg,52.05,46.39,2015,January,46.32,-0.2,-11.0
Maize Flour - Sifted,2 Kg,112.21,103.93,2015,January,100.93,-2.9,-10.1
Maize Grain - Loose,1 Kg,43.84,42.57,2015,January,42.18,-0.9,-3.8
Maize Flour - Loose,1 Kg,56.90,45.77,2015,January,44.59,-2.6,-21.6
Matatu Fares,About 250 Km,365.55,405.29,2015,January,403.45,-0.5,10.4
Country Bus Fares,About 350 Km,902.61,972.58,2015,January,964.01,-0.9,6.8
Kerosene,1 litre,85.81,72.30,2015,January,66.53,-8.0,-22.5
Gas(LPG),13 Kg,"2,995.22","3,018.45",2015,January,"2,954.36",-2.1,-1.4
Electricity,50 KW/h,526.7,521.54,2015,January,502.4,-3.7,-4.6
Electricity,200 KW/h,"3,285.9","3,509.48",2015,January,"3,432.92",-2.2,4.5
Diesel,1 litre,106.26,91.79,2015,January,84.30,-8.2,-20.7
Petrol,1 litre,111.98,102.86,2015,January,93.75,-8.9,-16.3
