
Broad Commodity Group,"CPI
Weight","% Change on
last month
(July 2015/
June 2015)","% Change on
same month of
previous year
(July 2015/
July 2014)",2015,July,,,
Food & Non-Alcoholic Beverages,36.04,-0.60,12.14,2015,July,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.17,3.12,2015,July,,,
Clothing & Footwear,7.43,0.34,4.91,2015,July,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,0.76,2.21,2015,July,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.53,4.08,2015,July,,,
Health,3.13,0.28,5.00,2015,July,,,
Transport,8.66,0.93,-2.46,2015,July,,,
Communication,3.82,0.01,1.19,2015,July,,,
Recreation & Culture,2.25,0.29,3.36,2015,July,,,
Education,3.14,0.04,3.86,2015,July,,,
Restaurant & Hotels,4.48,0.57,5.30,2015,July,,,
Miscellaneous Goods & Services,4.52,0.32,5.26,2015,July,,,
Total,100.00,0.07,6.62,2015,July,,,
Commodity Name,"Units of
Measure","Average
Price July
2014","Average
Price
June
2015",2015,July,"Average
Price July
2015","%
Change
on last
month","% change
on same
month
last year"
Beef - With Bones,1 Kg,373.67,392.96,2015,July,393.58,0.16,5.33
Maize grain,1 Kg,46.52,45.40,2015,July,45.18,-0.49,-2.88
Potatoes (Irish),1 Kg,42.22,64.03,2015,July,63.25,-1.23,49.80
"Kale-Sukuma
Wiki",1 Kg,29.80,38.71,2015,July,37.74,-2.51,26.65
Sugar,1 Kg,106.64,107.78,2015,July,109.00,1.14,2.21
Sifted Maize Flour,2 Kg,118.04,112.38,2015,July,113.00,0.55,-4.27
Cabbages,1 Kg,28.42,44.32,2015,July,41.96,-5.32,47.66
"Offals -
Matumbo",1 Kg,218.26,237.14,2015,July,236.94,-0.09,8.56
Charcoal,4 Kg,73.11,76.00,2015,July,77.53,2.01,6.05
Gas - (LPG),13 Kg,"3,042.80","2,393.76",2015,July,"2,376.22",-0.73,-21.91
Electricity,50 KW/h,691,507.62,2015,July,507.62,0.00,-26.54
Electricity,200 KW/h,3919,3453.8,2015,July,3291.98,-4.69,-16.00
Kerosene,1 litre,84.99,62.73,2015,July,63.69,1.53,-25.06
Petrol,1 litre,116.03,98.14,2015,July,99.45,1.33,-14.29
Matatu Fares,"About 200
Km",394.21,377.47,2015,July,380.55,0.82,-3.47
Diesel,1 litre,106.24,84.26,2015,July,85.51,1.48,-19.51
Country Bus Fares,"About 350
Km",945.30,916.75,2015,July,925.94,1.00,-2.05
