
Broad Commodity Group,"CPI
Weight","% Change on
last month
(June 2015/
May 2015)","% Change on
same month of
previous year
(June 2015/
June 2014)",2015,June,,,
Food & Non-Alcoholic Beverages,36.04,-0.10,13.39,2015,June,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.49,2.58,2015,June,,,
Clothing & Footwear,7.43,0.70,4.94,2015,June,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,0.37,2.01,2015,June,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.47,4.37,2015,June,,,
Health,3.13,0.47,5.22,2015,June,,,
Transport,8.66,0.86,-3.02,2015,June,,,
Communication,3.82,0.75,1.20,2015,June,,,
Recreation & Culture,2.25,0.05,3.20,2015,June,,,
Education,3.14,0.00,3.83,2015,June,,,
Restaurant & Hotels,4.48,0.32,5.45,2015,June,,,
Miscellaneous Goods & Services,4.52,0.54,5.33,2015,June,,,
Total,100.00,0.29,7.03,2015,June,,,
Commodity Name,"Units of
Measure","Average
Price June
2014","Average
Price May
2015",2015,June,"Average
Price June
2015","%
Chang
e on
last
month","%
change
on
same
month
last
year"
Beef - With Bones,1 Kg,365.85,392.65,2015,June,392.96,0.08,7.41
Mangoes,1 Kg,71.01,78.15,2015,June,78.36,0.27,10.36
Potatoes (Irish),1 Kg,56.27,67.58,2015,June,64.03,-5.25,13.8
Kale-Sukuma Wiki,1 Kg,50.97,39.65,2015,June,38.71,-2.36,-24.04
Orange,1 Kg,77.74,84.39,2015,June,81.59,-3.31,4.96
Sifted Maize Flour,2 Kg,121.98,110.48,2015,June,112.38,1.72,-7.87
Cabbages,1 Kg,54.46,47.39,2015,June,44.32,-6.48,-18.61
Carrots,1 Kg,89.47,80.86,2015,June,86.17,6.58,-3.69
Charcoal,4 Kg,73.34,75.54,2015,June,76,0.61,3.63
Gas - (LPG),13 Kg,"3,074.57","2,424.69",2015,June,"2,393.76",-1.28,-22.14
Electricity,50 KW/h,625.2,507.62,2015,June,507.62,0,-18.81
Electricity,200 KW/h,"3,229.20","3,453.80",2015,June,"3,453.80",0,6.96
Kerosene,1 litre,83.73,60.2,2015,June,62.73,4.21,-25.08
Petrol,1 litre,115.17,93.76,2015,June,98.14,4.67,-14.79
Matatu Fares,"About 200
Km",393.4,378.02,2015,June,377.47,-0.14,-4.05
Diesel,1 litre,106.24,80.3,2015,June,84.26,4.93,-20.69
Country Bus Fares,"About 350
Km",941.4,913.07,2015,June,916.75,0.4,-2.62
