
Broad Commodity Group,"CPI
Weight","% Change on
last month
(Mar 2015/
Feb 2015)","% Change on
same month of
previous year
(Mar 2015/
Mar 2014)",2015,March,,,
Food & Non-Alcoholic Beverages,36.04,2.65,10.96,2015,March,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.24,1.81,2015,March,,,
Clothing & Footwear,7.43,0.20,4.32,2015,March,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,-0.05,2.92,2015,March,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.07,4.17,2015,March,,,
Health,3.13,0.37,4.14,2015,March,,,
Transport,8.66,-0.33,2.77,2015,March,,,
Communication,3.82,0.02,0.59,2015,March,,,
Recreation & Culture,2.25,0.10,3.16,2015,March,,,
Education,3.14,0.15,3.92,2015,March,,,
Restaurant & Hotels,4.48,0.11,4.97,2015,March,,,
Miscellaneous Goods & Services,4.52,0.06,4.20,2015,March,,,
Total,100.00,1.12,6.31,2015,March,,,
Commodity Name,"Units of
Measure","Average
Price
March
2014","Average
Price
February
2015",2015,March,"Average
Price
March
2015","% Change
on last
month","% change
on same
month last
year"
Cabbages,1 Kg,51.31,37.29,2015,March,44.38,19,-13.5
Potatoes (Irish),1 Kg,51.55,46.34,2015,March,53.16,14.7,3.1
Kale-Sukuma Wiki,1 Kg,45.32,37.58,2015,March,42.51,13.1,-6.2
Carrots,1 Kg,90.95,60.78,2015,March,66.26,9,-27.1
Tomatoes,1 Kg,88.36,95.28,2015,March,99.47,4.4,12.6
Onions,1 Kg,1 15.00,95.71,2015,March,98.64,3.1,-14.2
Milk - Fresh Packeted,500 Ml,53.29,50.21,2015,March,51.42,2.4,-3.5
Sugar,1 Kg,109.89,109.31,2015,March,105.57,-3.4,-3.9
Maize Flour - Sifted,2 Kg,113.55,98.83,2015,March,94.38,-4.5,-16.9
Kerosene,1 litre,84.65,53.37,2015,March,56.71,6.3,-33
Petrol,1 litre,114.29,85.6,2015,March,90.34,5.5,-21
Diesel,1 litre,106.34,76.49,2015,March,77.16,0.9,-27.4
Electricity,200 KWh,2793.2,3456.12,2015,March,3400.44,-1.6,21.7
Electricity,50 KWh,516.2,508.2,2015,March,494.28,-2.7,-4.2
Gas -(LPG),13 Kg,"3,094.16","2,846.53",2015,March,"2,739.35",-3.8,-11.5
