
Broad Commodity Group,"CPI
Weight","% Change on
last month
(May 2015/
Apr 2015)","% Change on
same month of
previous year
(May 2015/
May 2014)",2015,May,,,
Food & Non-Alcoholic Beverages,36.04,1.06,13.20,2015,May,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,-0.02,1.92,2015,May,,,
Clothing & Footwear,7.43,0.76,4.52,2015,May,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,1.30,2.35,2015,May,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.45,4.31,2015,May,,,
Health,3.13,1.42,5.05,2015,May,,,
Transport,8.66,-1.34,-3.52,2015,May,,,
Communication,3.82,0.16,0.61,2015,May,,,
Recreation & Culture,2.25,0.32,3.31,2015,May,,,
Education,3.14,0.01,3.83,2015,May,,,
Restaurant & Hotels,4.48,1.37,5.70,2015,May,,,
Miscellaneous Goods & Services,4.52,1.28,5.19,2015,May,,,
Total,100.00,0.81,6.87,2015,May,,,
Commodity Name,"Units of
Measure","Average
Price May
2014","Average
Price April
2015",2015,May,"Average
Price May
2015","%
Change
on last
month","%
change
on
same
month
last
year"
Irish Potatoes,1 Kg,58.17,63.61,2015,May,67.58,6.24,16.18
Onions,1 Kg,122.01,104.43,2015,May,115.59,10.69,-5.26
Sifted Maize Flour,2 Kg,119.83,106.90,2015,May,110.48,3.35,-7.80
Beans,1 Kg,103.85,114.38,2015,May,121.21,5.98,16.72
Beef - With Bones,1 Kg,365.13,388.67,2015,May,392.65,1.02,7.54
Capsicums (Pilipili Hoho),1 Kg,141.77,185.64,2015,May,181.08,-2.45,27.73
Spinach,1 Kg,51.07,47.73,2015,May,45.70,-4.24,-10.51
Cabbages,1 Kg,54.01,49.26,2015,May,47.39,-3.79,-12.25
Fresh Unpacketed Milk,1000 Ml,55.53,58.83,2015,May,57.47,-2.31,3.50
Kale-Sukuma Wiki,1 Kg,49.89,42.79,2015,May,39.65,-7.35,-20.53
Electricity,50 KW/h,625.20,493.12,2015,May,507.62,2.94,-18.81
Electricity,200 KW/h,"3,229.20","3,395.80",2015,May,"3,453.80",1.71,6.96
Charcoal,4 Kg tin,73.27,74.66,2015,May,75.54,1.19,3.10
Kerosene,1 litre,83.73,58.17,2015,May,60.20,3.49,-28.10
LPG Gas,13 Kg,"3,075.06","2,529.56",2015,May,"2,424.69",-4.15,-21.15
