
Broad Commodity Group,"CPI
Weight","% Change on
last month
(November
2015/ October
2015)","% Change on same
month of
previous year
(November 2015/
November 2014)",2015,November,,,
Food & Non-Alcoholic Beverages,36.04,1.08,12.67,2015,November,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.26,3.25,2015,November,,,
Clothing & Footwear,7.43,0.24,4.53,2015,November,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,-0.13,4.18,2015,November,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.35,4.85,2015,November,,,
Health,3.13,0.18,4.99,2015,November,,,
Transport,8.66,-0.37,-1.25,2015,November,,,
Communication,3.82,0.01,1.15,2015,November,,,
Recreation & Culture,2.25,0.06,2.52,2015,November,,,
Education,3.14,0.05,4.06,2015,November,,,
Restaurant & Hotels,4.48,0.02,4.62,2015,November,,,
Miscellaneous Goods & Services,4.52,0.13,4.54,2015,November,,,
Total,100.00,0.52,7.32,2015,November,,,
"Commodity
Name","Units of
Measure","Average
Price
November
2014","Average
Price
October
2015",2015,November,"Average
Price
November
2015","%
Change
on last
month","% change
on same
month
last year"
Potatoes (Irish),1 Kg,46.46,73.77,2015,November,78.14,5.93,68.20
Green Maize,1 Cobb,20.11,24.35,2015,November,25.13,3.19,24.97
Avocado,1 Kg,40.54,47.35,2015,November,50.07,5.75,23.50
Peas,1 Kg,110.6,126.3,2015,November,129.1,2.23,16.68
Ripe Bananas,1 Kg,68.30,77.37,2015,November,78.92,2.01,15.55
Beans,1 Kg,105.1,118.8,2015,November,119.1,0.24,13.31
Tomatoes,1 Kg,83.30,100.72,2015,November,107.56,6.79,29.12
"Sukuma Wiki
(Kales)",1 Kg,30.97,38.84,2015,November,37.47,-3.53,20.99
Onions,1 Kg,90.54,121.58,2015,November,124.30,2.23,37.29
House rent,"One
room","3,611.80","3,835.75",2015,November,"3,868.95",0.87,7.12
Gas - (LPG),13 Kg,"3,033.28","2,401.31",2015,November,"2,386.66",-0.61,-21.32
Electricity,50 KWh,554.60,602.74,2015,November,545.90,-9.43,-1.57
Electricity,"200
KWh","3,641.72","3,672.46",2015,November,"3,445.10",-6.19,-5.40
Kerosene,1 litre,77.2,57.00,2015,November,55.77,-2.15,-27.79
Petrol,1 litre,108.5,94.16,2015,November,91.34,-3.00,-15.85
Diesel,1 litre,97.8,83.38,2015,November,80.61,-3.32,-17.61
