
Broad Commodity Group,"CPI
Weight","% Change on
last month
(October
2015/
September
2015)","% Change on
same month of
previous year
(October 2015/
October 2014)",2015,October,,,
Food & Non-Alcoholic Beverages,36.04,0.88,11.27,2015,October,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.21,3.36,2015,October,,,
Clothing & Footwear,7.43,0.16,4.75,2015,October,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,0.69,3.96,2015,October,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.60,4.87,2015,October,,,
Health,3.13,0.28,5.01,2015,October,,,
Transport,8.66,-0.36,-1.45,2015,October,,,
Communication,3.82,0.00,1.14,2015,October,,,
Recreation & Culture,2.25,0.04,3.02,2015,October,,,
Education,3.14,0.03,4.01,2015,October,,,
Restaurant & Hotels,4.48,0.03,4.90,2015,October,,,
Miscellaneous Goods & Services,4.52,0.35,5.14,2015,October,,,
Total,100.00,0.50,6.72,2015,October,,,
Commodity Name,"Units of
Measur
e","Average
Price
October
2014","Average
Price
Septembe
r 2015",2015,October,"Average
Price
October
2015","%
Cha
nge
on
last
mon
th","%
chan
ge on
same
mont
h last
year"
Potatoes (Irish),1 Kg,45.20,63.33,2015,October,73.77,16.5,63.2
Beef With Bones,1 Kg,376.92,395.27,2015,October,395.65,0.1,5.0
Avocado,1 Kg,39.56,44.79,2015,October,47.35,5.7,19.7
Spinach,1 Kg,40.24,45.09,2015,October,46.36,2.8,15.2
Maize grain,1 Kg,44.46,43.57,2015,October,42.78,-1.8,-3.8
Kale-Sukuma Wiki,1 Kg,30.25,37.93,2015,October,38.84,2.4,28.4
Tomatoes,1 Kg,93.33,106.58,2015,October,100.72,-5.5,7.9
"Coriander Leaves
(Dania)",1 Kg,41.81,61.99,2015,October,65.75,6.1,57.3
Onions,1 Kg,89.96,119.01,2015,October,121.58,2.2,35.2
House rent,"One
room","3,589.05","3,814.15",2015,October,"3,835.75",0.6,6.9
Commodity Name,"Units of
Measur
e","Average
Price
October
2014","Average
Price
Septembe
r 2015",2015,October,"Average
Price
October
2015","%
Cha
nge
on
last
mon
th","%
chan
ge on
same
mont
h last
year"
Gas - (LPG),13 Kg,"3,068.58","2,393.85",2015,October,"2,401.31",0.3,-21.7
Electricity,"50
KW/h",627.10,555.76,2015,October,602.74,8.5,-3.9
Electricity,"200
KW/h","3,931.72","3,484.54",2015,October,"3,672.46",5.4,-6.6
Kerosene,1 litre,81.81,53.52,2015,October,57.00,6.5,-30.3
Petrol,1 litre,111.72,103.49,2015,October,94.16,-9.0,-15.7
Diesel,1 litre,101.59,80.94,2015,October,83.38,3.0,-17.9
