
Broad Commodity Group,"CPI
Weight","% Change on
last month
(September
2015/
August 2015)","% Change on same
month of
previous year
(September 2015/
September 2014)",2015,September,,,
Food & Non-Alcoholic Beverages,36.04,0.48,9.81,2015,September,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.04,3.14,2015,September,,,
Clothing & Footwear,7.43,0.24,4.88,2015,September,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,-0.18,3.01,2015,September,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.53,4.42,2015,September,,,
Health,3.13,0.12,4.94,2015,September,,,
Transport,8.66,0.01,-1.38,2015,September,,,
Communication,3.82,0.01,1.15,2015,September,,,
Recreation & Culture,2.25,0.17,3.07,2015,September,,,
Education,3.14,0.04,3.98,2015,September,,,
Restaurant & Hotels,4.48,0.63,5.48,2015,September,,,
Miscellaneous Goods & Services,4.52,0.26,5.12,2015,September,,,
Total,100.00,0.27,5.97,2015,September,,,
Commodity Name,"Units of
Measure","Average
Price
Septembe
r 2014","Average
Price
August
2015",2015,September,"Average
Price
September
2015","%
Chang
e on
last
month","% change
on same
month last
year"
Beef With Bones,1 Kg,375.98,394.7,2015,September,395.27,0.14,5.13
Beans,1 Kg,105.67,120.22,2015,September,119.46,-0.63,13.05
Spinach,1 Kg,40.34,44.87,2015,September,45.09,0.49,11.77
Maize grain,1 Kg,44.71,44.85,2015,September,43.57,-2.85,-2.55
Potatoes (Irish),1 Kg,44.73,60.57,2015,September,63.33,4.56,41.58
"Kale-Sukuma
Wiki",1 Kg,30.27,37.13,2015,September,37.93,2.15,25.31
Tomatoes,1 Kg,99.73,107.53,2015,September,106.58,-0.88,6.87
"Capsicum (Pilipili
Hoho)",1 Kg,151.51,184.81,2015,September,186.13,0.71,22.85
Onions,1 Kg,92.87,117.85,2015,September,119.01,0.98,28.15
"Packetted Fresh
Milk",500 Ml,48.83,53.35,2015,September,53.45,0.19,9.46
Gas - (LPG),13 Kg,"3,111.7
4","2,374.
92",2015,September,"2,393.85",0.80,-23.07
Electricity,50 KW/h,676.98,605.64,2015,September,555.76,-8.24,-17.91
Electricity,"200
KW/h","4,131.2
4","3,684.
06",2015,September,"3,484.54",-5.42,-15.65
Kerosene,1 litre,82.33,58.94,2015,September,53.52,-9.20,-34.99
Petrol,1 litre,113.7,103.5,2015,September,103.49,-0.01,-8.98
Diesel,1 litre,104.82,84.3,2015,September,80.94,-3.99,-22.78
"Country Bus
Fares","About
350 Km",956.52,937.14,2015,September,937.14,0.00,-2.03
