
Broad Commodity Group,"CPI
Weight","% Change on
last month
(April 2016/
March 2015)","% Change on same
month of
previous year
(April 2016/ April
2015)",2016,April,,,
Food & Non-Alcoholic Beverages,36.04,1.48,6.84,2016,April,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.14,14.24,2016,April,,,
Clothing & Footwear,7.43,0.20,4.68,2016,April,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,0.15,3.37,2016,April,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.14,4.50,2016,April,,,
Health,3.13,0.16,5.26,2016,April,,,
Transport,8.66,-0.42,-0.74,2016,April,,,
Communication,3.82,0.06,2.70,2016,April,,,
Recreation & Culture,2.25,0.18,4.18,2016,April,,,
Education,3.14,0.01,4.24,2016,April,,,
Restaurant & Hotels,4.48,0.18,5.45,2016,April,,,
Miscellaneous Goods & Services,4.52,0.20,4.80,2016,April,,,
Total,100.00,0.69,5.27,2016,April,,,
Commodity Name,"Units of
Measure","Average
Price April
2015","Average
Price
March
2016",2016,April,"Average
Price April
2016","% Change
on last
month","% change
on same
month last
year"
Tomatoes,1 Kg,112.91,134.46,2016,April,149.67,13.5,32.6
Potatoes (Irish),1 Kg,63.61,73.88,2016,April,76.87,4.7,20.9
Mangoes,1 Kg,75.61,87.27,2016,April,93.06,7.7,23.1
Spinach,1 Kg,47.73,46.20,2016,April,46.92,1.5,-1.7
Kale-Sukuma Wiki,1 Kg,42.79,38.22,2016,April,38.27,0.1,-10.6
Fresh Unpacketed Milk,1000 Ml,58.83,54.25,2016,April,54.26,0.0,-7.8
House rent,One room,"3,676.43","3,980.00",2016,April,"3,980.00",0.00,8.3
Avocado,1 Kg,46.39,57.72,2016,April,57.05,-1.4,23.0
Beer,500 Ml,136.15,155.66,2016,April,155.66,0.0,14.3
Cigarettes,1 Packet,96.89,121.18,2016,April,121.18,0.0,25.1
Charcoal,4 Kg,74.66,78.07,2016,April,78.82,1.0,5.6
Kerosene,1 litre,58.17,43.13,2016,April,44.94,3.1,-22.7
Electricity,50 Kwh,493.12,534.3,2016,April,534.3,0.0,8.4
Electricity,200 Kwh,"3,395.80","3,398.7",2016,April,"3,398.7",0.0,0.1
Gas (LPG),13 Kg,"2,529.56","2,277.48",2016,April,"2,268.37",-0.4,-10.3
Diesel,1 litre,78.44,66.68,2016,April,67.21,0.7,-14.3
Petrol,1 litre,90.22,86.46,2016,April,81.61,-5.4,-9.5
