
Broad Commodity Group,CPI Weight,"% Change on last
month (August
2016/ July
2016)","% Change on same month
of previous year (August
2016/ August 2015)",2016,August,,,
Food & Non-Alcoholic Beverages,36.04,-0.19,10.85,2016,August,,,
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.28,14.33,2016,August,,,
Clothing & Footwear,7.43,0.39,3.68,2016,August,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.3,0.09,0.25,2016,August,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.43,3.75,2016,August,,,
Health,3.13,0.04,3.46,2016,August,,,
Transport,8.66,0.53,-0.07,2016,August,,,
Communication,3.82,0.02,1.8,2016,August,,,
Recreation & Culture,2.25,0.24,4.37,2016,August,,,
Education,3.14,0.01,4.15,2016,August,,,
Restaurant & Hotels,4.48,0.31,5.48,2016,August,,,
Miscellaneous Goods & Services,4.52,0.41,3.88,2016,August,,,
Overall,100.00,0.08,6.26,2016,August,,,
"Commodity
Name","Unit of
Measure","Average
Price August
2015","Average
Price July
2016",2016,August,"Average
Price
August
2016","% Change
on last
month","% change
on same
month last
year"
Cabbages,1 Kg,42.89,64.63,2016,August,66.91,3.53,56.0
Potatoes (Irish),1 Kg,60.57,76.9,2016,August,73.92,-3.88,22.0
Onions,1 Kg,117.85,144.18,2016,August,135.02,-6.35,14.6
"Loose Maize
Grain",1 Kg,44.85,43.09,2016,August,43.06,-0.07,-4.0
Wheat Flour,2 Kg,130.93,121.54,2016,August,120.62,-0.76,-7.9
"Unpacketed
Fresh Milk",1 litre,56.44,54.36,2016,August,54.48,0.22,-3.5
Kerosene,1 litre,58.94,62.42,2016,August,63.45,1.65,7.7
Gas - (LPG),13 Kg,"2,374.92","2,097.51",2016,August,"2,078.76",-0.89,-12.5
Electricity,50 KWh,605.64,525.02,2016,August,525.02,0.00,-13.3
Electricity,200 KWh,"3,684.06","3,361.58",2016,August,"3,361.58",0.00,-8.8
Petrol,1 litre,103.5,93.81,2016,August,96.01,2.35,-7.2
Diesel,1 litre,84.3,84.2,2016,August,85.47,1.51,1.4
