
Broad Commodity Group,CPI Weight,"% Change on last
month
(December
2016/ November
2016)","% Change on same
month of previous
year (December
2016/ December
2015)",2016,December,,,
Food & Non-Alcoholic Beverages,36.04,1.31,11.22,2016,December,,,
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.47,2.73,2016,December,,,
Clothing & Footwear,7.43,0.79,4.38,2016,December,,,
"Housing, Water, Electricity, Gas and other Fuels",18.3,0.41,0.06,2016,December,,,
"Furnishings, Household Equipment and Routine
Household Maintenance",6.16,0.27,3.26,2016,December,,,
Health,3.13,0.00,3.09,2016,December,,,
Transport,8.66,0.49,0.29,2016,December,,,
Communication,3.82,0.00,1.54,2016,December,,,
Recreation & Culture,2.25,0.06,4.41,2016,December,,,
Education,3.14,0.00,4.02,2016,December,,,
Restaurant & Hotels,4.48,0.20,4.98,2016,December,,,
Miscellaneous Goods & Services,4.52,0.64,3.57,2016,December,,,
Total,100,0.76,6.35,2016,December,,,
Commodity Name,"Unit of
Measure","Average
Price
December
2015","Average
Price
November
2016",2016,December,"Average
Price
December
2016","% Change
on last
month","% change
on same
month last
year"
Cabbages,1 Kg,43.3,62.8,2016,December,67.1,6.8,55.0
Kale-Sukuma Wiki,1 Kg,37.1,43.2,2016,December,45.7,5.8,23.2
Orange,1 Kg,90.2,138.8,2016,December,145.6,4.9,61.4
Beef (With Bones),1 Kg,397.1,400.9,2016,December,402.7,0.4,1.4
Sugar,1 Kg,115.3,128.2,2016,December,131.2,2.3,13.8
Potatoes (Irish),1 Kg,76.4,80.1,2016,December,81.4,1.6,6.5
Mangoes,1 Kg,88.8,119.3,2016,December,117.2,-1.8,32.0
Banana - Ripe,1 Kg,79.2,84.7,2016,December,83,-2.0,4.8
Electricity,50 KWh,542.42,529.32,2016,December,558.9,5.6,3.0
Electricity,200 KWh,3431.18,3378.78,2016,December,3497.1,3.5,1.9
Kerosene,1 litre,54.23,59.7,2016,December,64.5,8.0,18.9
Flat,2 Bedrooms,"19,983.50","20,080.30",2016,December,"20,095.10",0.1,0.6
Gas - (LPG),13 Kg,"2,369.50","1,987.70",2016,December,"1,983.10",-0.2,-16.3
Diesel,1 litre,79.47,83.1,2016,December,88.2,6.1,11.0
Country Bus Fares,350 Km,964.1,970,2016,December,984.4,1.5,2.1
Petrol,1 litre,90.94,92.8,2016,December,95.1,2.5,4.6
