
Broad Commodity Group,"CPI
Weight","% Change on last
month
(February 2016/
January 2015)","% Change on
same month of
previous year
(February 2016/
February 2015)",2016,February,,,
Food & Non-Alcoholic Beverages,36.04,-0.43,10.77,2016,February,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,-0.40,13.84,2016,February,,,
Clothing & Footwear,7.43,0.03,4.64,2016,February,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,-1.81,2.79,2016,February,,,
"Furnishings, Household
Equipment and Routine Household
Maintenance",6.16,0.04,4.63,2016,February,,,
Health,3.13,0.13,5.40,2016,February,,,
Transport,8.66,-1.62,-0.31,2016,February,,,
Communication,3.82,1.31,2.67,2016,February,,,
Recreation & Culture,2.25,0.45,4.02,2016,February,,,
Education,3.14,0.54,4.31,2016,February,,,
Restaurant & Hotels,4.48,0.82,6.00,2016,February,,,
Miscellaneous Goods & Services,4.52,0.38,5.17,2016,February,,,
Total,100.00,-0.42,6.84,2016,February,,,
"Commodity
Name","Units of
Measure","Average
Price
February
2015","Average
Price
January
2016",2016,February,"Average
Price
February
2016","%
Change
on last
month","%
change
on same
month
last year"
Potatoes (Irish),1 Kg,46.34,74.37,2016,February,72.32,-2.76,56.08
Onions,1 Kg,95.71,141.74,2016,February,136.48,-3.71,42.59
Tomatoes,1 Kg,95.28,131.19,2016,February,129.08,-1.61,35.48
Carrots,1 Kg,60.78,89.07,2016,February,89.66,0.66,47.50
"Kale-Sukuma
Wiki",1 Kg,37.58,36.75,2016,February,36.81,0.16,-2.06
Cabbages,1 Kg,37.29,47.75,2016,February,48.07,0.68,28.90
Spinach,1 Kg,44.24,44.73,2016,February,45.96,2.74,3.88
LPG Gas,13 Kg,"2,846.53","2,343.86",2016,February,"2,318.03",-1.10,-18.57
Kerosene,1 litre,53.37,47.11,2016,February,40.60,-13.81,-23.92
Electricity,"50
Kw/h",508.20,534.3,2016,February,534.3,0.00,5.14
Electricity,"200
Kw/h","3,456.12",3398.7,2016,February,3398.7,0.00,-1.66
House rents,1 Room,"3,676.43","3,969.80",2016,February,"3,980.00",0.26,8.26
