
Broad Commodity Group,"CPI
Weight","% Change on
last month
(June 2016/
May 2016)","% Change on same month
of
previous year
(June 2016/ June 2015)",2016,June,,,
"Food & Non-Alcoholic
Beverages",36.04,2.06,8.89,2016,June,,,
"Alcoholic Beverages, Tobacco
& Narcotics",2.06,0.18,14.06,2016,June,,,
Clothing & Footwear,7.43,0.31,3.64,2016,June,,,
"Housing, Water, Electricity,
Gas and other Fuels",18.30,0.08,1.84,2016,June,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.10,3.83,2016,June,,,
Health,3.13,0.27,3.62,2016,June,,,
Transport,8.66,0.34,0.63,2016,June,,,
Communication,3.82,0.01,1.77,2016,June,,,
Recreation & Culture,2.25,0.32,4.40,2016,June,,,
Education,3.14,0.02,4.26,2016,June,,,
Restaurant & Hotels,4.48,0.64,5.55,2016,June,,,
"Miscellaneous Goods &
Services",4.52,0.28,3.37,2016,June,,,
Total,100.00,1.05,5.80,2016,June,,,
Commodity Name,"Units of
Measure","Average
Price June
2015","Average
Price May
2016",2016,June,"Average
Price June
2016","%
Change
on last
month","%
change
on same
month
last year"
Tomatoes,1 Kg,115.98,154.31,2016,June,171.19,10.94,47.60
Cabbages,1 Kg,44.32,55.32,2016,June,59.84,8.17,35.02
Onions,1 Kg,121.61,133.7,2016,June,143.16,7.08,17.72
"Maize Flour -
Sifted",2 Kg,112.38,108.1,2016,June,110.57,2.28,(1.61)
Kale-Sukuma Wiki,1 Kg,38.71,40.34,2016,June,39.05,-3.2,0.88
Carrots,1 Kg,86.17,89.73,2016,June,93.94,4.69,9.02
Flat (rent),"2
Bedrooms","19,490.77","20,040.41",2016,June,"20,056.01",0.08,2.90
Electricity,50 KWh,507.62,534.3,2016,June,534.3,-,5.26
Kerosene,1 litre,62.73,47.96,2016,June,59.01,23.04,(5.93)
Charcoal,4 Kg,76,78.5,2016,June,78.71,0.27,3.57
Gas (LPG),13 Kg,"2,393.76","2,252.86",2016,June,"2,229.50",-1.04,(6.86)
Petrol,1 litre,98.14,85.14,2016,June,87.07,2.27,(11.28)
Diesel,1 litre,84.26,71.34,2016,June,74.69,4.7,(11.36)
Body Lotion,200 Ml,104.8,107.91,2016,June,108.61,0.65,3.64
