
Broad Commodity Group,"CPI
Weight","% Change on last
month
(March 2016/
February 2015)","% Change on
same month of
previous year
(March 2016/
March 2015)",2016,March,,,
Food & Non-Alcoholic Beverages,36.04,1.39,9.41,2016,March,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.99,14.68,2016,March,,,
Clothing & Footwear,7.43,0.27,4.71,2016,March,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.30,0.58,3.45,2016,March,,,
"Furnishings, Household Equipment
and Routine Household
Maintenance",6.16,0.20,4.76,2016,March,,,
Health,3.13,0.16,5.17,2016,March,,,
Transport,8.66,-0.34,-0.31,2016,March,,,
Communication,3.82,0.00,2.65,2016,March,,,
Recreation & Culture,2.25,0.10,4.02,2016,March,,,
Education,3.14,0.07,4.23,2016,March,,,
Restaurant & Hotels,4.48,-0.02,5.86,2016,March,,,
Miscellaneous Goods & Services,4.52,0.01,5.12,2016,March,,,
Total,100.00,0.76,6.45,2016,March,,,
Commodity Name,"Units of
Measure","Average
Price
March
2015","Average
Price
February
2016",2016,March,"Average
Price
March
2016","%
Change
on last
month","%
change
on same
month
last
year"
Cabbages,1 Kg,44.38,48.07,2016,March,54.46,13.28,22.72
Kale-Sukuma Wiki,1 Kg,42.51,36.81,2016,March,38.22,3.84,-10.10
Irish Potatoes,1 Kg,53.16,72.32,2016,March,73.88,2.16,38.99
Pilipili Hoho,1 Kg,185.35,181.61,2016,March,190.46,4.87,2.76
"Fresh Unpacketed
Milk",1000 ml,57.04,54.08,2016,March,54.25,0.30,-4.90
Fresh Packeted Milk,500 Ml,51.42,53.30,2016,March,53.42,0.23,3.90
Peas,1 Kg,119.65,130.96,2016,March,133.52,1.95,11.59
Mutton/Goat Meat,1 Kg,452.22,461.28,2016,March,463.27,0.43,2.44
Cigarettes,1 Packet,96.89,121.18,2016,March,121.18,0.00,25.07
Beer,500 Ml,136.15,155.66,2016,March,155.66,0.00,14.33
Kerosene,1 litre,56.71,40.60,2016,March,43.13,6.24,-23.94
Electricity,50 KWh,494.28,534.30,2016,March,534.30,0.00,8.10
Electricity,200 KWh,"3,400.44","3,398.70",2016,March,"3,398.70",0.00,-0.05
Charcoal,4 Kg,73.39,78.64,2016,March,78.07,-0.72,6.38
Gas (LPG),13 Kg,"2,629.56","2,318.03",2016,March,"2,277.48",-1.75,-13.39
Water Services,1000 litres,246.07,249.66,2016,March,252.35,1.10,2.60
Maissionette,3 Bedrooms,"31,449.33","32,605.47",2016,March,"32,797.71",0.60,4.30
Diesel,1 litre,77.16,68.85,2016,March,66.68,-3.15,-13.58
Petrol,1 litre,90.34,87.38,2016,March,86.46,-1.05,-4.29
Kiosks: Food,"Ugali
Mboga",89.33,93.55,2016,March,93.55,0.00,4.72
