
Broad Commodity Group,"CPI
Weight","% Change on last
month
(May 2016/
April 2015)","% Change on same
month of
previous year
(May 2016/ May
2015)",2016,May,,,
"Food & Non-Alcoholic
Beverages",36.04,0.82,6.58,2016,May,,,
"Alcoholic Beverages, Tobacco
& Narcotics",2.06,0.13,14.41,2016,May,,,
Clothing & Footwear,7.43,0.15,4.05,2016,May,,,
"Housing, Water, Electricity,
Gas and other Fuels",18.30,0.09,2.14,2016,May,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.18,4.21,2016,May,,,
Health,3.13,0.03,3.82,2016,May,,,
Transport,8.66,0.55,1.16,2016,May,,,
Communication,3.82,0.00,2.53,2016,May,,,
Recreation & Culture,2.25,0.26,4.12,2016,May,,,
Education,3.14,0.02,4.24,2016,May,,,
Restaurant & Hotels,4.48,1.15,5.21,2016,May,,,
"Miscellaneous Goods &
Services",4.52,0.16,3.64,2016,May,,,
Total,100.00,0.55,5.00,2016,May,,,
Commodity Name,"Units of
Measure","Average
Price April
2015","Average Price
May 2016",2016,May,"Average
Price April
2016","%
Change
on last
month","% change
on same
month
last year"
Green Maize,I Cob,25.37,26.75,2016,May,28.52,6.6,12.4
Maize Flour - Sifted,2 Kg,110.50,103.52,2016,May,108.10,4.4,-2.2
Beans,1 Kg,121.20,120.78,2016,May,123.68,2.4,2.0
Potatoes (Irish),1 Kg,67.58,76.87,2016,May,78.28,1.8,15.8
Cooking Oil,1 litre,219.29,229.15,2016,May,228.16,-0.4,4.0
Mangoes,1 Kg,78.16,93.06,2016,May,96.97,4.2,24.1
Tomatoes,1 Kg,114.70,149.67,2016,May,155.34,3.8,35.4
Orange,1 Kg,84.38,100.64,2016,May,104.40,3.7,23.7
Spinach,1 Kg,45.70,46.92,2016,May,46.09,-1.8,0.9
Diesel,1 litre,80.30,67.21,2016,May,71.34,6.1,-11.2
Petrol,1 litre,93.76,81.61,2016,May,85.14,4.3,-9.2
Gas -(LPG),13 Kg,"2,424.55","2,268.37",2016,May,"2,252.86",-0.7,-7.1
Kerosene,1 litre,60.20,44.94,2016,May,47.96,6.7,-20.3
Electricity,50 Kw/h,507.62,534.3,2016,May,534.3,0.0,5.3
Electricity,200 Kw/h,"3,453.80","3,398.7",2016,May,"3,398.7",0.0,-1.6
