
Broad Commodity Group,"CPI
Weight","% Change on
last month
(October 2016/
September
2016)","% Change on same
month of previous
year (October
2016/ October
2015)",2016,October,,,
Food & Non-Alcoholic Beverages,36.04,0.96,11.03,2016,October,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.01,14.13,2016,October,,,
Clothing & Footwear,7.43,0.55,4.17,2016,October,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.3,0.16,-0.04,2016,October,,,
"Furnishings, Household
Equipment and Routine
Household Maintenance",6.16,0.19,3.23,2016,October,,,
Health,3.13,0.18,3.34,2016,October,,,
Transport,8.66,0.37,0.36,2016,October,,,
Communication,3.82,0.02,1.81,2016,October,,,
Recreation & Culture,2.25,0.08,4.34,2016,October,,,
Education,3.14,0.00,4.07,2016,October,,,
Restaurant & Hotels,4.48,0.22,5.60,2016,October,,,
Miscellaneous Goods & Services,4.52,0.25,3.90,2016,October,,,
Total,100,0.62,6.47,2016,October,,,
Commodity Name,"Unit of
Measure","Average Price
October
2015","Average Price
September
2016",2016,October,"Average
Price
October
2016","% Change
on last
month","% change on
same month
last year"
Sugar,1 Kg,110.81,120.74,2016,October,125.71,4.1,13.4
Irish Potatoes,1 Kg,73.77,77.46,2016,October,80.24,3.6,8.8
Loose Maize Flour,1 Kg,47.78,48.18,2016,October,49.01,1.7,2.6
UnPacketed Fresh Milk,1000 Ml,55.88,54.65,2016,October,55.18,1.0,-1.3
Beef,1 Kg,395.65,400.48,2016,October,399.10,-0.3,0.9
Carrots,1 Kg,78.35,66.56,2016,October,66.96,0.6,-14.5
Loose Maize Grain,1 Kg,42.78,43.81,2016,October,43.98,0.4,2.8
Ripe Bananas,1 Kg,77.37,84.34,2016,October,85.92,1.9,11.1
Beans,1 Kg,118.8,128.16,2016,October,129.52,1.1,9.0
Sifted Maize Flour,2 Kg,112.8,113.79,2016,October,114.4,0.5,1.4
Kerosene,1 litre,57,60.08,2016,October,59.68,-0.7,4.7
Diesel,1 litre,83.38,83.42,2016,October,83.08,-0.4,-0.4
Electricity,50 KWh,602.74,525.02,2016,October,528.16,0.6,-12.4
Electricity,200KWh,"3,672.46","3,361.58",2016,October,"3,374.14",0.4,-8.1
Rent,1 Room,"3,835.75","3,980.00",2016,October,"4,032.83",1.3,5.1
Gas - (LPG),13 Kg,"2,401.31","2,029.12",2016,October,"1,989.54",-2.0,-17.1
Petrol,1 litre,94.16,92.28,2016,October,92.44,0.2,-1.8
