
Broad Commodity Group,"CPI
Weight","% Change on last
month
(September
2016/ August)
2016)","% Change on same
month of previous
year (September
2016/ September
2015)",2016,September,,,
Food & Non-Alcoholic Beverages,36.04,0.55,10.94,2016,September,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,0.06,14.35,2016,September,,,
Clothing & Footwear,7.43,0.33,3.77,2016,September,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.3,0.05,0.48,2016,September,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.44,3.66,2016,September,,,
Health,3.13,0.11,3.45,2016,September,,,
Transport,8.66,-0.30,-0.38,2016,September,,,
Communication,3.82,0.00,1.79,2016,September,,,
Recreation & Culture,2.25,0.11,4.31,2016,September,,,
Education,3.14,0.00,4.10,2016,September,,,
Restaurant & Hotels,4.48,0.55,5.40,2016,September,,,
Miscellaneous Goods & Services,4.52,0.38,4.00,2016,September,,,
Total,100,0.34,6.34,2016,September,,,
Commodity Name,"Unit of
Measure","Average
Price
September
2015","Average
Price
August
2016",2016,September,"Average
Price
September
2016","%
Change
on last
month","% change
on same
month
last year"
Sugar,1 Kg,108.52,116.52,2016,September,120.74,3.6,11.3
Potatoes (Irish),1 Kg,63.33,73.92,2016,September,77.46,4.8,22.3
Orange,1 Kg,84.30,111.13,2016,September,117.12,5.4,38.9
Fresh Fish,1 Kg,393.37,405.20,2016,September,414.52,2.3,5.4
Fresh Packeted Milk,500 Ml,53.45,53.37,2016,September,53.73,0.7,0.5
Maize Grain - Loose,1 Kg,43.57,43.06,2016,September,43.81,1.7,0.6
Banana - Ripe,1 Kg,75.76,82.96,2016,September,84.34,1.7,11.3
Beans,1 Kg,119.46,126.49,2016,September,128.16,1.3,7.3
Paw paws,1 Kg,93.65,100.75,2016,September,106.18,5.4,13.4
Electricity,50 KWh,555.76,525.02,2016,September,525.02,0.0,-5.5
Electricity,200 KWh,"3,484.54","3,361.58",2016,September,"3,361.58",0.0,-3.5
Kerosene,1 litre,53.52,63.45,2016,September,60.08,-5.3,12.2
Diesel,1 litre,80.94,85.47,2016,September,83.42,-2.4,3.1
Spinach,1 Kg,45.09,47.60,2016,September,46.50,-2.3,3.1
Gas - (LPG),13 Kg,"2,393.85","2,078.76",2016,September,"2,029.12",-2.4,-15.2
Petrol,1 litre,103.49,96.01,2016,September,92.28,-3.9,-10.8
