
Broad Commodity Group,Weight,"% Change on last
month (August
2017/ July 2017)","% Change on same
month of previous
year (August 2017/
August 2016)",2017,August,,,
Food and Non-Alcoholic Beverages,36.04,1.04,13.57,2017,August,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.10,2.91,2017,August,,,
Clothing and Footwear,7.43,0.14,3.80,2017,August,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.30,0.54,3.49,2017,August,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.28,3.23,2017,August,,,
Health,3.13,0.67,3.35,2017,August,,,
Transport,8.66,0.03,2.26,2017,August,,,
Communication,3.82,0.22,0.34,2017,August,,,
Recreation and Culture,2.25,-0.01,1.16,2017,August,,,
Education,3.14,0.00,2.83,2017,August,,,
Restaurant and Hotels,4.48,0.29,5.51,2017,August,,,
Miscellaneous Goods and Services,4.52,0.08,3.50,2017,August,,,
Total,100.00,0.61,8.04,2017,August,,,
Commodity Name,"Units of
Measure","Average
Price August
2016","Average
Price July
2017",2017,August,"Average
Price August
2017","%
Change
on last
month","% Change
on same
month last
year"
Tomatoes,1 Kg,74.00,86.55,2017,August,98.72,14.1,33.4
Spinach,1 Kg,47.60,48.00,2017,August,50.86,6.0,6.8
Carrots,1 Kg,66.21,94.87,2017,August,99.16,4.5,49.8
Wheat Flour,2 Kg,120.62,132.21,2017,August,133.80,1.2,10.9
Rice Grade 1,1 Kg,181.72,203.10,2017,August,205.34,1.1,13.0
Potatoes (Irish),1 Kg,73.92,56.75,2017,August,57.13,0.7,-22.7
Beef - With Bones,1 Kg,400.48,406.72,2017,August,406.04,-0.2,1.4
Milk - Fresh Packeted,500 Ml,53.37,60.35,2017,August,60.17,-0.3,12.7
Beans,1 Kg,126.49,115.87,2017,August,114.79,-0.9,-9.2
Milk - Fresh Unpacketed,1000 ml,54.48,62.00,2017,August,61.65,-0.6,13.2
Maize Flour - Sifted,2 Kg,113.85,116.56,2017,August,115.67,-0.8,1.6
Maize Grain,1 Kg,43.06,63.92,2017,August,58.95,-7.8,36.9
Kerosene,1 litre,63.45,62.42,2017,August,64.41,3.2,1.5
Electricity (50 KWh),200 Kwh,525.02,576.07,2017,August,651.47,13.1,24.1
Electricity (200 KWh),50 Kwh,"2,078.76","3,642.66",2017,August,"3,944.26",8.3,89.7
Diesel,1 litre,85.47,85.45,2017,August,86.84,1.6,1.6
Petrol,1 litre,96.01,98.00,2017,August,96.98,-1.0,1.0
