
Broad Commodity Group,Weight,"% Change on last
month (December
2017/ November
2017)","% Change on same
month of previous year
(December 2017/
December 2016)",2017,December,,,
Food and Non-Alcoholic Beverages,36.04,0.25,4.68,2017,December,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.48,3.05,2017,December,,,
Clothing and Footwear,7.43,0.85,2.97,2017,December,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.3,0.27,5.13,2017,December,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.51,3.26,2017,December,,,
Health,3.13,0.44,4.85,2017,December,,,
Transport,8.66,2.44,5.82,2017,December,,,
Communication,3.82,0.08,0.53,2017,December,,,
Recreation and Culture,2.25,0.56,1.55,2017,December,,,
Education,3.14,0.07,3.21,2017,December,,,
Restaurant and Hotels,4.48,0.89,6.61,2017,December,,,
Miscellaneous Goods and Services,4.52,0.59,3.56,2017,December,,,
Total,100,0.54,4.50,2017,December,,,
Commodity Name,"Units of
Measure","Average
Price
December
2016","Average
Price
November
2017",2017,December,"Average
Price
December
2017","% Change
over a month
ago","% Change over a
year ago"
Maize Flour - Loose,1 Kg,49.89,59.85,2017,December,59.02,-1.39,18.30
Beef - With Bones,1 Kg,402.74,424.20,2017,December,428.15,0.93,6.31
Chicken,1 Kg,563.83,600.84,2017,December,617.83,2.83,9.58
Fresh Fish,1 Kg,424.19,454.15,2017,December,468.69,3.20,10.49
Orange,1 Kg,145.55,86.18,2017,December,82.27,-4.53,-43.48
Mangoes,1 Kg,117.18,120.56,2017,December,114.75,-4.81,-2.07
Kale-Sukuma Wiki,1 Kg,45.70,39.39,2017,December,43.67,10.88,-4.42
Tomatoes,1 Kg,74.71,98.85,2017,December,94.52,-4.38,26.52
Onions,1 Kg,111.96,127.52,2017,December,130.65,2.46,16.69
Potatoes (Irish),1 Kg,81.43,52.02,2017,December,54.40,4.58,-33.20
Sugar,1 Kg,131.16,137.77,2017,December,134.00,-2.74,2.17
Gas -(LPG),13 Kg,"1 ,983.06","2 ,128.59",2017,December,"2 ,141.46",0.60,7.99
Electricity,200 KWh,"3 ,588.98","3 ,937.30",2017,December,"3 ,937.30",0.00,9.71
Electricity,50 KWh,562.65,649.73,2017,December,649.73,0.00,15.48
Kerosene,1 litre,63.56,71.23,2017,December,71.42,0.27,12.37
Country Bus Fares,350 Km,984.41,995.47,2017,December,"1 ,059.56",6.44,7.63
Matatu Fares,250 Km,391.99,400.21,2017,December,407.96,1.94,4.08
Petrol,1 litre,95.26,103.58,2017,December,105.04,1.41,10.26
Diesel,1 litre,87.22,92.41,2017,December,92.44,0.03,5.98
