
Broad Commodity Group,"CPI
Weight","% Change on
last month
(February
2017/ January
2017)","% Change on same
month of previous
year (February
2017/ February
2016)",2017,February,,,
Food & Non-Alcoholic Beverages,36.04,3.08,16.50,2017,February,,,
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.20,3.50,2017,February,,,
Clothing & Footwear,7.43,0.30,4.32,2017,February,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.3,0.41,2.33,2017,February,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.12,3.04,2017,February,,,
Health,3.13,1.42,3.58,2017,February,,,
Transport,8.66,0.70,4.26,2017,February,,,
Communication,3.82,0.02,0.16,2017,February,,,
Recreation & Culture,2.25,0.16,1.93,2017,February,,,
Education,3.14,0.52,2.94,2017,February,,,
Restaurant & Hotels,4.48,0.64,4.32,2017,February,,,
Miscellaneous Goods & Services,4.52,0.17,3.34,2017,February,,,
Total,100,1.72,9.04,2017,February,,,
Commodity Name,"Unit of
Measure","Average
Price
February
2016","Average
Price
January
2017",2017,February,"Average
Price
February
2017","% Change
on last
month","% change
on same
month
last year"
Kale-Sukuma Wiki,1 Kg,36.8,48.7,2017,February,54.1,11.0,46.9
Maize Flour - Sifted,2 Kg,105.5,119.6,2017,February,126.8,6.0,20.2
Milk - Fresh Unpacketed,1000 Ml,54.1,55.5,2017,February,57.8,4.1,6.9
Milk - Fresh Packeted,500 Ml,53.3,54.3,2017,February,55.8,2.7,4.6
Maize Grain - Loose,1 Kg,41.1,46.4,2017,February,49.5,6.7,20.4
Potatoes (Irish),1 Kg,72.3,82.3,2017,February,85.8,4.3,18.7
Maize Flour - Loose,1 Kg,45.8,50.7,2017,February,54.4,7.3,18.7
Cabbages,1 Kg,48.1,71.6,2017,February,74.8,4.6,55.7
Spinach,1 Kg,46.0,49.5,2017,February,53.0,7.0,15.3
Mangoes,1 Kg,87.1,113.6,2017,February,112.9,-0.6,29.6
Offals - Matumbo,1 Kg,240.5,252.3,2017,February,250.8,-0.6,4.3
Beef - With Bones,1 Kg,398.2,402.4,2017,February,400.9,-0.4,0.7
Electricity,50 Kwh,534.3,557.4,2017,February,588.2,5.5,10.1
Electricity,200 Kwh,"3,398.7","3,568.1",2017,February,"3,691.1",3.4,8.6
House Rent,"Single
Room","3,980.0","4,092.7",2017,February,"4,099.6",0.2,3.0
Kerosene,1 litre,40.6,64.4,2017,February,68.2,5.8,67.9
Gas - (LPG),13 Kg,"2,318.0","1,989.9",2017,February,"1,976.4",-0.7,-14.7
Petrol,1 litre,87.9,96.9,2017,February,101.1,4.4,15.1
Diesel,1 litre,68.9,85.2,2017,February,90.2,5.9,31.0
