
Broad Commodity Group,"CPI
Weight","% Change on
last month
(January 2017/
December
2016)","% Change on same
month of previous
year (January
2017/ January
2016)",2017,January,,,
Food & Non-Alcoholic Beverages,36.04,1.66,12.54,2017,January,,,
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.55,2.87,2017,January,,,
Clothing & Footwear,7.43,0.07,4.04,2017,January,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.3,0.33,0.07,2017,January,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.20,2.95,2017,January,,,
Health,3.13,0.92,2.26,2017,January,,,
Transport,8.66,0.60,1.85,2017,January,,,
Communication,3.82,0.01,1.46,2017,January,,,
Recreation & Culture,2.25,0.10,2.23,2017,January,,,
Education,3.14,2.28,2.96,2017,January,,,
Restaurant & Hotels,4.48,0.00,4.50,2017,January,,,
Miscellaneous Goods & Services,4.52,0.23,3.56,2017,January,,,
Total,100,1.00,6.99,2017,January,,,
Commodity Name,"Unit of
Measure","Average
Price
January
2016","Average
Price
December
2016",2017,January,"Average
Price
January
2017","%
Change
on last
month","%
change
on same
month
last year"
Kale-Sukuma Wiki,1 Kg,36.75,45.7,2017,January,48.74,6.7,32.6
Maize Flour - Sifted,2 Kg,106.15,115.18,2017,January,119.64,3.9,12.7
Cabbages,1 Kg,47.75,67.1,2017,January,71.58,6.7,49.9
Spinach,1 Kg,44.73,46.58,2017,January,49.52,6.3,10.7
Fresh Packeted Milk,500 Ml,53.44,53.94,2017,January,54.27,0.6,1.6
Beans,1 Kg,120.92,130.02,2017,January,132.76,2.1,9.8
Onions,1 Kg,141.74,111.96,2017,January,114.35,2.1,-19.3
Wheat Flour,2 Kg,130.81,130.24,2017,January,131.86,1.2,0.8
Loose Maize Grain,1 Kg,41.08,45.78,2017,January,46.41,1.4,13
Irish Potatoes,1 Kg,74.37,81.43,2017,January,82.33,1.1,10.7
Mangoes,1 Kg,87.65,117.18,2017,January,113.57,-3.1,29.6
Single Room,1 Room,"3,969.80","4,070.28",2017,January,"4,092.70",0.6,3.1
Charcoal,4 Kg,78.82,79.2,2017,January,79.64,0.6,1
Gas - (LPG),13 Kg,"2,343.86","1,983.06",2017,January,"1,989.87",0.3,-15.1
Kerosene,1 litre,47.11,64.52,2017,January,64.41,-0.1,36.7
Electricity,50 KWh,534.3,558.9,2017,January,559.19,0.1,4.7
Electricity,200 KWh,"3,398.70","3,497.1",2017,January,"3,575.14",2.2,5.2
Petrol,1 litre,89.52,95.08,2017,January,96.88,1.9,8.2
Diesel,1 litre,77.66,88.18,2017,January,85.20,-3.4,9.7
