
Broad Commodity Group,Weight,"% Change on last
month (July
2017/ June
2017)","% Change on same
month of previous
year (July 2017/
July 2016)",2017,July,,,
Food & Non-Alcoholic Beverages,36.04,-2.05,12.19,2017,July,,,
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.10,3.10,2017,July,,,
Clothing & Footwear,7.43,0.25,4.07,2017,July,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.3,-0.08,3.03,2017,July,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.23,3.39,2017,July,,,
Health,3.13,0.09,2.70,2017,July,,,
Transport,8.66,-0.29,2.77,2017,July,,,
Communication,3.82,0.07,0.14,2017,July,,,
Recreation & Culture,2.25,0.03,1.42,2017,July,,,
Education,3.14,0.00,2.84,2017,July,,,
Restaurant & Hotels,4.48,0.07,5.53,2017,July,,,
Miscellaneous Goods & Services,4.52,0.38,3.84,2017,July,,,
Total,100,-0.96,7.47,2017,July,,,
Commodity Name,"Units of
Measure","Average
Price July
2016","Average
Price June
2017",2017,July,"Average
Price July
2017","% Change
on last
month","% Change on
same month
last year"
Potatoes (Irish),1 Kg,76.90,72.15,2017,July,56.75,-21.34,-26.20
Sugar,1 Kg,115.42,156.28,2017,July,150.16,-3.9,30.1
Tomatoes,1 Kg,90.00,90.31,2017,July,86.83,-3.9,-3.5
Milk - Fresh Packeted,500 Ml,53.17,61.73,2017,July,60.35,-2.2,13.5
Cabbages,1 Kg,64.63,59.07,2017,July,54.54,-7.7,-15.6
Maize Flour - Sifted,2 Kg,113.07,119.08,2017,July,116.56,-2.1,3.1
Maize Grain - Loose,1 kg,43.1,65.3,2017,July,63.9,-2.1,48.3
Onions,1 Kg,144.18,133.51,2017,July,128.08,-4.1,-11.2
Spinach,1 Kg,48.45,51.62,2017,July,48.30,-6.4,-0.3
Kale-Sukuma Wiki,1 Kg,41.04,42.68,2017,July,42.17,-1.2,2.7
Rice Grade 1,1 Kg,180.65,199.99,2017,July,203.10,1.6,12.4
Wheat Flour,2 Kg,121.54,129.62,2017,July,132.21,2.0,8.8
Mangoes,1 Kg,102.62,150.44,2017,July,159.28,5.9,55.2
Gas -(LPG),13 Kg,"2,099.28","2,112.19",2017,July,"2,073.62",-1.8,-1.2
Rent,"One
room","3,980.0","4,108.7",2017,July,"4,108.7",0,3.2
Kerosene,1 litre,62.42,66.04,2017,July,63.55,-3.8,1.8
Charcoal,4 Kg,78.71,81.70,2017,July,81.61,-0.1,3.7
Electricity,50 Kwh,525.02,576.57,2017,July,576.07,-0.1,9.7
Electricity,200 Kwh,"3,361.58","3,644.66",2017,July,"3,642.66",-0.1,8.4
Petrol,1 litre,93.81,99.68,2017,July,98.00,-1.7,4.5
Diesel,1 litre,84.20,87.95,2017,July,85.45,-2.8,1.5
