
Broad Commodity Group,Weight,"% Change on
last month
(June 2017/
May 2017)","% Change on
same month of
previous year
(June 2017/
June 2016)",2017,June,,,
Food & Non-Alcoholic Beverages,36.04,-2.74,15.81,2017,June,,,
"Alcoholic Beverages, Tobacco &
Narcotics",2.06,-0.11,3.32,2017,June,,,
Clothing & Footwear,7.43,0.31,3.99,2017,June,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.3,0.14,2.96,2017,June,,,
"Furnishings, Household Equipment
and Routine Household
Maintenance",6.16,0.22,3.40,2017,June,,,
Health,3.13,0.03,2.85,2017,June,,,
Transport,8.66,-0.06,4.23,2017,June,,,
Communication,3.82,0.01,0.11,2017,June,,,
Recreation & Culture,2.25,0.04,1.51,2017,June,,,
Education,3.14,0.00,2.84,2017,June,,,
Restaurant & Hotels,4.48,0.43,5.66,2017,June,,,
Miscellaneous Goods & Services,4.52,0.14,3.96,2017,June,,,
Total,100,-1.20,9.21,2017,June,,,
Commodity Name,"Units of
Measure","Average
Price June
2016","Average
PriceMay
2017",2017,June,"Average
Price June
2017","% Change
on last
month","% Change on
same month
last year"
Potatoes (Irish),1 Kg,78.80,84.95,2017,June,72.15,-15.1,-8.4
Sugar,1 Kg,113.70,168.18,2017,June,156.28,-7.1,37.5
Maize Flour - Sifted,2 Kg,110.57,129.64,2017,June,119.08,-8.1,7.7
Milk - Fresh Packeted,500 Ml,53.35,65.63,2017,June,61.73,-5.9,15.7
Kale-Sukuma Wiki,1 Kg,39.05,46.61,2017,June,42.68,-8.4,9.3
Cabbages,1 Kg,59.84,64.00,2017,June,59.07,-7.7,-1.3
Maize Grain - Loose,1 Kg,42.47,64.35,2017,June,65.27,1.4,53.7
Wheat Flour,2 Kg,122.57,127.77,2017,June,129.62,1.5,5.8
Carrots,1 Kg,93.94,84.11,2017,June,91.06,8.3,-3.1
Kerosene,1 litre,59.01,66.26,2017,June,66.04,-0.3,11.9
Rent,1 Room,"3,980.00","4,108.70",2017,June,"4,108.70",0.0,3.2
Gas -(LPG),13 Kg,"2,229.50","2,104.29",2017,June,"2,112.19",0.4,-5.3
Charcoal,4 Kg tin,78.71,81.37,2017,June,81.70,0.4,3.8
Petrol,1 litre,85.39,100.48,2017,June,99.68,-0.8,16.7
Diesel,1 litre,70.93,89.02,2017,June,87.95,-1.2,24.0
