
Broad Commodity Group,"CPI
Weight","% Change on
last month
(March 2017/
February
2017)","% Change on
same month of
previous year
(March 2017/
March 2016)",2017,March,,,
Food & Non-Alcoholic Beverages,36.04,3.18,18.56,2017,March,,,
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.85,3.36,2017,March,,,
Clothing & Footwear,7.43,0.14,4.17,2017,March,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.3,0.69,2.45,2017,March,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.26,3.10,2017,March,,,
Health,3.13,0.00,3.42,2017,March,,,
Transport,8.66,0.27,4.89,2017,March,,,
Communication,3.82,0.00,0.17,2017,March,,,
Recreation & Culture,2.25,0.31,2.14,2017,March,,,
Education,3.14,0.00,2.87,2017,March,,,
Restaurant & Hotels,4.48,0.33,4.69,2017,March,,,
Miscellaneous Goods & Services,4.52,0.30,3.64,2017,March,,,
Total,100,1.67,10.28,2017,March,,,
Commodity Name,"Unit of
Measure","Average
Price
March
2016","Average
Price
February
2017",2017,March,"Average
Price
March
2017","%
Change
on last
month","% change
on same
month
last year"
Potatoes (Irish),1 Kg,73.88,85.83,2017,March,98.42,14.7,33.2
Maize Flour - Sifted,2 Kg,103.65,126.78,2017,March,132.36,4.4,27.7
Maize Grain - Loose,1 Kg,41.29,49.54,2017,March,51.78,4.5,25.4
Fresh Packeted Milk,500 Ml,53.42,55.76,2017,March,56.65,1.6,6.0
Sugar,1 Kg,112.86,131.16,2017,March,132.86,1.3,17.7
Fresh Unpacketed Milk,1000 Ml,54.25,57.81,2017,March,58.64,1.4,8.1
Rice Grade 1,1 Kg,179.97,191.63,2017,March,193.81,1.1,7.7
Rice Grade 2,1 Kg,101.38,113.72,2017,March,114.33,0.5,12.8
Spinach,1 Kg,46.20,52.97,2017,March,58.70,10.8,27.0
Maize Flour - Loose,1 Kg,45.79,54.40,2017,March,56.78,4.4,24.0
Coriander Leaves (Dania),100 G,68.89,98.21,2017,March,110.53,12.5,60.4
Gas - (LPG),13 Kg,"2,277.48","1,976.38",2017,March,"1,998.70",1.1,-12.2
"Rent 3 Bedrooms
Maisonette",1 unit,"32,797.71","33,820.20",2017,March,"33,903.63",0.2,3.4
Rent - Single Room,1 unit,"3,980.00","4,099.63",2017,March,"4,099.63",0.0,3.0
Kerosene,1 litre,56.71,68.15,2017,March,68.93,1.1,21.5
Electricity,"200
Kwh","3,400.44","3,691.06",2017,March,"3,616.82",-2.0,6.4
Electricity,50 Kwh,494.28,588.17,2017,March,569.61,-3.2,15.2
Petrol,1 litre,90.34,101.14,2017,March,101.91,0.8,12.8
Diesel,1 litre,77.16,90.22,2017,March,91.39,1.3,18.4
