
Broad Commodity Group,Weight,"% Change on last
month (November
2017/ October
2017)","% Change on same
month of previous year
(November 2017/
November 2016)",2017,November,,,
Food and Non-Alcoholic Beverages,36.04,-1.33,5.79,2017,November,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.17,3.04,2017,November,,,
Clothing and Footwear,7.43,0.69,2.91,2017,November,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.3,1.74,5.27,2017,November,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.32,3.02,2017,November,,,
Health,3.13,1.19,4.39,2017,November,,,
Transport,8.66,0.58,3.81,2017,November,,,
Communication,3.82,0.04,0.45,2017,November,,,
Recreation and Culture,2.25,0.19,1.04,2017,November,,,
Education,3.14,0.00,3.14,2017,November,,,
Restaurant and Hotels,4.48,0.11,5.89,2017,November,,,
Miscellaneous Goods and Services,4.52,0.39,3.61,2017,November,,,
Total,100,-0.23,4.73,2017,November,,,
Commodity name,"Units of
measure","Average
Price
November
2016","Average
Price
October
2017",2017,November,"Average
Price
November
2017","%
change
last
month","%
change
last
year"
Tomatoes,1 Kg,73.93,105.11,2017,November,98.85,-5.96,33.70
Kale-Sukuma Wiki,1 Kg,43.15,41.83,2017,November,39.39,-5.84,-8.72
Sugar,1 Kg,128.18,140.03,2017,November,137.77,-1.61,7.49
Cabbages,1 Kg,62.76,38.57,2017,November,35.79,-7.20,-42.97
Carrots,1 Kg,67.37,60.09,2017,November,53.77,-10.52,-20.18
Potatoes (Irish),1 Kg,80.09,53.26,2017,November,52.02,-2.34,-35.05
Spinach,1 Kg,45.08,51.81,2017,November,49.04,-5.35,8.76
Maize Flour - Sifted,2 Kg,114.19,118.68,2017,November,117.87,-0.69,3.22
Orange,1 Kg,138.80,89.45,2017,November,86.18,-3.66,-37.91
Beef - With Bones,1 Kg,400.95,419.79,2017,November,424.20,1.05,5.80
Charcoal,4 Kg,79.07,81.82,2017,November,81.91,0.10,3.59
Kerosene,1 litre,63.13,67.15,2017,November,72.20,7.51,14.36
House rent,1 Room,"4,070.28","4,187.23",2017,November,"4,246.53",1.42,4.33
Gas -(LPG),13 Kg,"1,987.69","2,140.47",2017,November,"2,122.07",-0.86,6.76
Electricity,200 KWh,"3,470.66","3,751.38",2017,November,"3,937.30",4.96,13.45
Electricity,50 KWh,533.07,603.25,2017,November,649.73,7.70,21.88
Diesel,1 litre,83.14,89.68,2017,November,93.37,4.12,12.31
Petrol,1 litre,95.82,102.55,2017,November,103.58,1.00,8.10
