
Broad Commodity Group,Weight,"% Change on last
month (October
2017/ September
2017)","% Change on same
month of previous
year (October 2017/
October 2016)",2017,October,,,
Food and Non-Alcoholic Beverages,36.04,-1.78,8.47,2017,October,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.05,2.98,2017,October,,,
Clothing and Footwear,7.43,0.01,2.92,2017,October,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.3,0.47,3.58,2017,October,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.42,3.19,2017,October,,,
Health,3.13,0.05,3.17,2017,October,,,
Transport,8.66,0.86,3.78,2017,October,,,
Communication,3.82,0.07,0.4,2017,October,,,
Recreation and Culture,2.25,0.03,1.04,2017,October,,,
Education,3.14,0.1,3.14,2017,October,,,
Restaurant and Hotels,4.48,0.99,5.96,2017,October,,,
Miscellaneous Goods and Services,4.52,0.2,3.29,2017,October,,,
Total,100,-0.63,5.72,2017,October,,,
Commodity name,"Units of
measure","Average
Price
October
2016","Average
Price
September
2017",2017,October,"Average
Price
October
2017","% change
last
month","% change
last year"
Cabbages,1 Kg,60.63,4 6.58,2017,October,38.57,-13.21,-36.39
Sugar,1 Kg,125.71,142.42,2017,October,140.03,-1.90,11.39
Carrots,1 Kg,66.96,6 7.55,2017,October,60.09,-11.13,-10.25
Oranges,1 Kg,139.55,9 6.42,2017,October,89.45,-4.99,-35.90
Onions,1 Kg,112.47,132.53,2017,October,128.38,-3.69,14.14
Maize Grain - Loose,1 Kg,43.98,5 7.84,2017,October,56.80,-2.36,29.17
Beans,1 Kg,129.52,115.59,2017,October,115.74,0.12,-10.63
Potatoes (Irish),1 Kg,80.24,5 3.13,2017,October,53.26,0.16,-33.62
Kale-Sukuma Wiki,1 Kg,41.12,4 1.48,2017,October,41.83,0.86,1.72
Wheat Flour,2 Kg,122.95,135.16,2017,October,133.99,-0.95,8.99
Charcoal,4 Kg,79.17,8 1.86,2017,October,81.82,-0.04,3.35
Kerosene,1 litre,59.68,6 5.34,2017,October,67.15,3.03,12.52
House rent,1 Room,"4,032.83","4,177.08",2017,October,"4,187.23",0.25,3.83
Gas -(LPG),13 Kg,"1,989.54","2,094.22",2017,October,"2,140.47",2.32,7.59
Electricity,200 Kwh,"3,374.14","3,665.54",2017,October,"3,751.38",2.54,11.18
Electricity,50 Kwh,528.16,581.79,2017,October,603.25,4.06,14.22
Diesel,1 litre,83.08,8 7.84,2017,October,89.68,2.22,7.94
Petrol,1 litre,92.44,9 9.20,2017,October,102.55,3.63,10.94
