
Broad Commodity Group,Weight,"% Change on last
month (April
2018/ March
2018)","% Change on same
month of previous
year (April 2018/
April 2017)",2018,April,,,
Food and Non-Alcoholic Beverages,36.04,1.59,0.26,2018,April,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.28,2.79,2018,April,,,
Clothing and Footwear,7.43,0.27,4.09,2018,April,,,
"Housing, Water, Electricity, Gas
and other Fuels",18.3,3.24,11.80,2018,April,,,
"Furnishings, Household Equipment
and Routine Household
Maintenance",6.16,0.48,4.61,2018,April,,,
Health,3.13,0.00,3.48,2018,April,,,
Transport,8.66,0.16,7.01,2018,April,,,
Communication,3.82,-0.02,0.79,2018,April,,,
Recreation and Culture,2.25,0.00,1.40,2018,April,,,
Education,3.14,0.01,5.09,2018,April,,,
Restaurant and Hotels,4.48,0.57,6.04,2018,April,,,
Miscellaneous Goods and Services,4.52,0.25,4.74,2018,April,,,
Total,100,1.35,3.73,2018,April,,,
Commodity Name,Units,Apr-17,Mar-18,2018,April,Apr-18,"% Change
over a
month ago","% Change
over a Year
ago"
Maize Flour - Sifted,2 Kg,135.87,124.51,2018,April,124.01,(0.41),(8.73)
Milk - Fresh Unpacketed,1000 ml,60.83,61.17,2018,April,60.82,(0.58),(0.02)
Coriander Leaves (Dania),100 G,110.96,108.49,2018,April,107.01,(1.36),(3.56)
Peas,1 Kg,149.34,158.65,2018,April,162.23,2.26,8.64
Beef - With Bones,1 Kg,401.97,433.71,2018,April,434.60,0.20,8.12
Onions,1 Kg,125.28,167.58,2018,April,177.01,5.63,41.29
Kerosene,1 litre,65.44,78.41,2018,April,77.68,(0.94),18.70
Gas -(LPG),13 Kg,"2,063.95","2,169.19",2018,April,"2,172.82",0.17,5.28
Rent,1 Room,"4,108.70","4,298.98",2018,April,"4,307.18",0.19,4.83
Electricity,200 Kwh,"3,700.34","4,262.10",2018,April,"4,322.10",1.41,16.80
Electricity,50 Kwh,590.49,730.93,2018,April,745.93,2.05,26.32
Charcoal,4 Kg,80.80,107.36,2018,April,125.48,16.87,55.30
Petrol,1 litre,99.01,108.33,2018,April,107.70,(0.58),8.78
Diesel,1 litre,89.70,98.82,2018,April,98.82,(0.01),10.16
