
Broad Commodity Group,Weight,"% Change
on last
month
(Dec18
/Nov18)","% Change on
same month of
previous year
(Dec18
/Dec17)",2018,December,,,
Food and Non-Alcoholic Beverages,36.04,1.05,2.54,2018,December,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.12,6.82,2018,December,,,
Clothing and Footwear,7.43,0.14,3.41,2018,December,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.30,0.07,13.47,2018,December,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.10,3.95,2018,December,,,
Health,3.13,0.16,4.51,2018,December,,,
Transport,8.66,1.34,14.34,2018,December,,,
Communication,3.82,0.00,4.66,2018,December,,,
Recreation and Culture,2.25,0.10,1.04,2018,December,,,
Education,3.14,0.06,4.93,2018,December,,,
Restaurant and Hotels,4.48,0.31,3.60,2018,December,,,
Miscellaneous Goods and Services,4.52,0.32,3.90,2018,December,,,
Total,100.00,0.65,5.71,2018,December,,,
Commodity Name,"Units of
measure","Average price -
December
2017","Average price
-November
2018",2018,December,"Average price -
December
2018","% Change
over last
month (Dec
18/Nov 18)","% Change
over a year
ago (Dec
18/Dec17)"
Carrots,1 Kg,53.14,5 6.06,2018,December,61.03,8.86,14.86
Tomatoes,1 Kg,94.52,6 6.93,2018,December,75.74,13.17,-19.87
Capsicums (Pilipili Hoho),1 Kg,102.55,123.62,2018,December,125.87,1.82,22.74
Maize Flour - Sifted,2 Kg,101.97,8 4.32,2018,December,86.55,2.64,-15.12
Chicken,1 Kg,617.83,646.50,2018,December,659.94,2.08,6.81
Onions,1 Kg,130.65,8 3.66,2018,December,85.66,2.39,-34.44
Maize Grain - Loose,1 Kg,57.29,3 4.25,2018,December,35.05,2.34,-38.82
Wheat Flour,2 Kg,135.32,122.45,2018,December,123.86,1.14,-8.47
Beef - With Bones,1 Kg,428.15,445.91,2018,December,447.47,0.35,4.51
Mutton/Goat Meat,1 Kg,486.63,509.36,2018,December,510.94,0.31,5.00
Offals - Matumbo,1 Kg,257.50,267.39,2018,December,267.67,0.10,3.95
Cabbages,1 Kg,34.72,3 9.66,2018,December,38.02,-4.14,9.50
Kale-Sukuma Wiki,1 Kg,43.67,4 4.62,2018,December,43.24,-3.16,-0.99
Potatoes (Irish),1 Kg,54.40,7 7.80,2018,December,75.17,-3.38,38.17
Beer,500 Ml,158.22,170.73,2018,December,171.18,0.26,8.19
Charcoal,4 Kg,83.04,141.12,2018,December,141.31,0.13,70.16
House rent,1 Room,"4,253.78","4,431.55",2018,December,"4 ,436.45",0.11,4.29
Electricity,50 Kwh,649.73,757.72,2018,December,757.72,0.00,16.62
Electricity,200 Kwh,"3,937.30","4,434.48",2018,December,"4 ,434.48",0.00,12.63
Kerosene,1 litre,72.42,109.25,2018,December,106.15,-2.84,46.58
Local Flight,Return fares,"17,926.06","19,760.87",2018,December,"21,230.18",7.44,18.43
Country Bus Fares,350 Km,"1,059.56","1,183.59",2018,December,"1 ,245.94",5.27,17.59
Diesel,1 litre,92.44,108.97,2018,December,111.89,2.68,21.04
Matatu Fares,250 Km,407.96,431.00,2018,December,436.63,1.31,7.03
International Flights,Return fares,"110,674.11","119,791.45",2018,December,"120,546.86",0.63,8.92
