
Broad Commodity Group,Weight,"% Change on last
month (January
2018/ December
2017)","% Change on same
month of previous year
(January 2018/
January 2017)",2018,January,,,
Food and Non-Alcoholic Beverages,36.04,1.69,4.71,2018,January,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.53,3.03,2018,January,,,
Clothing and Footwear,7.43,0.69,3.61,2018,January,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.3,0.90,5.74,2018,January,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.54,3.62,2018,January,,,
Health,3.13,0.35,4.26,2018,January,,,
Transport,8.66,1.53,6.80,2018,January,,,
Communication,3.82,0.07,0.59,2018,January,,,
Recreation and Culture,2.25,0.22,1.67,2018,January,,,
Education,3.14,4.42,5.38,2018,January,,,
Restaurant and Hotels,4.48,0.39,7.03,2018,January,,,
Miscellaneous Goods and Services,4.52,0.76,4.11,2018,January,,,
Total,100,1.32,4.83,2018,January,,,
Commodity name,Units,Jan-17,Dec-17,2018,January,Jan-18,"% Change
over a month
ago","% Change
over a Year
ago"
Kale-Sukuma Wiki,1 Kg,48.74,43.67,2018,January,48.61,11.29,-0.27
Cabbages,1 Kg,71.58,34.72,2018,January,38.24,10.15,-46.57
Potatoes (Irish),1 Kg,82.33,54.40,2018,January,56.10,3.13,-31.85
Beef - With Bones,1 Kg,402.44,428.15,2018,January,431.24,0.72,7.16
Tomatoes,1 Kg,76.41,94.52,2018,January,95.89,1.45,25.50
Milk - Fresh Packeted,500 Ml,54.27,60.04,2018,January,60.54,0.83,11.55
Sugar,1 Kg,133.28,134.00,2018,January,132.16,-1.37,-0.83
Mangoes,1 Kg,113.57,114.75,2018,January,93.86,-18.21,-17.35
Electricity,50 KWh,559.19,669.45,2018,January,682.71,1.98,22.09
Electricity,200 KWh,"3 ,575.14","4 ,016.18",2018,January,"4 ,069.22",1.32,13.82
Petrol,1 litre,96.88,105.04,2018,January,107.17,2.03,10.62
Diesel,1 Litre,85.20,92.44,2018,January,95.79,3.62,12.43
Kerosene,1 Litre,64.41,71.42,2018,January,75.74,6.05,17.59
Gas -(LPG),13 Kg,"1 ,989.87","2 ,141.46",2018,January,"2 ,140.37",-0.05,7.56
