
Broad Commodity Group,Weight,"% Change on last
month (June
2018/ May
2018)","% Change on same
month of previous
year (June 2018/
June 2017)",2018,June,,,
Food and Non-Alcoholic Beverages,36.04,-2.20,0.90,2018,June,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.40,2.77,2018,June,,,
Clothing and Footwear,7.43,0.22,4.17,2018,June,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.3,0.52,14.17,2018,June,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.35,4.64,2018,June,,,
Health,3.13,0.27,4.22,2018,June,,,
Transport,8.66,0.37,7.47,2018,June,,,
Communication,3.82,0.03,0.85,2018,June,,,
Recreation and Culture,2.25,0.03,1.52,2018,June,,,
Education,3.14,0.04,5.11,2018,June,,,
Restaurant and Hotels,4.48,0.29,4.77,2018,June,,,
Miscellaneous Goods and Services,4.52,0.07,4.12,2018,June,,,
Total,100,-0.89,4.28,2018,June,,,
Commodity Name,Units,Jun-17,May-18,2018,June,Jun-18,"% Change
over a
month ago","% Change
over a year
ago"
Kale-Sukuma Wiki,1 Kg,42.68,56.02,2018,June,57.87,3.30,35.59
Cabbages,1 Kg,59.07,41.91,2018,June,39.34,-6.14,-33.40
Banana - ripe,1 Kg,89.71,108.46,2018,June,108.06,-0.37,20.45
Pawpaw,1 Kg,1 02.17,117.72,2018,June,117.04,-0.58,14.55
Maize Grain - Loose,1 Kg,65.27,58.10,2018,June,53.09,-8.63,-18.67
Potatoes (Irish),1 Kg,72.15,68.67,2018,June,58.31,-15.08,-19.18
Onions,1 Kg,1 33.51,180.74,2018,June,147.84,-18.20,10.73
Green Maize,I Cobb,41.43,44.32,2018,June,32.86,-25.85,-20.68
Charcoal,4 Kg,81.70,135.64,2018,June,138.13,1.83,69.07
House rent,Single room,"4,108.70","4,310.68",2018,June,"4,335.75",0.58,5.53
Kerosene,1 litre,66.04,79.18,2018,June,85.05,7.42,28.78
Electricity,200 KWh,"3,644.66","4,322.10",2018,June,"4,106.34",-4.99,12.67
Electricity,50 KWh,5 76.57,745.93,2018,June,691.99,-7.23,20.02
Diesel,1 litre,87.95,99.60,2018,June,104.55,4.98,18.88
Petrol,1 litre,99.68,108.04,2018,June,109.67,1.51,10.02
