
Broad Commodity Group,Weight,"% Change on
last month
(May 2018/
April 2018)","% Change on same
month of previous
year (May 2018/
May 2017)",2018,May,,,
Food and Non-Alcoholic Beverages,36.04,1.35,0.34,2018,May,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,-0.05,2.25,2018,May,,,
Clothing and Footwear,7.43,0.31,4.27,2018,May,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.3,1.79,13.73,2018,May,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.26,4.51,2018,May,,,
Health,3.13,0.55,3.98,2018,May,,,
Transport,8.66,0.10,7.01,2018,May,,,
Communication,3.82,0.04,0.82,2018,May,,,
Recreation and Culture,2.25,0.20,1.53,2018,May,,,
Education,3.14,0.00,5.07,2018,May,,,
Restaurant and Hotels,4.48,0.28,4.92,2018,May,,,
Miscellaneous Goods and Services,4.52,0.17,4.19,2018,May,,,
Total,100,0.97,3.95,2018,May,,,
Commodity Name,Units,May-17,Apr-18,2018,May,May-18,"% Change
over a
month ago","% Change
over a year
ago"
Tomatoes,1 Kg,99.23,104.26,2018,May,120.39,15.47,21.33
Spinach,1 Kg,51.53,65.51,2018,May,69.12,5.50,34.13
Carrots,1 Kg,84.11,59.89,2018,May,62.07,3.65,-26.20
Onions,1 Kg,133.44,177.01,2018,May,180.74,2.11,35.45
Potatoes (Irish),1 Kg,84.95,67.33,2018,May,68.67,1.99,-19.17
Kale-Sukuma Wiki,1 Kg,46.61,55.12,2018,May,56.02,1.63,20.19
Sugar,1 Kg,168.18,131.22,2018,May,129.50,-1.31,-23.00
Orange,1 Kg,97.03,92.99,2018,May,90.69,-2.48,-6.54
Loose Maize Flour,1 Kg,67.95,62.74,2018,May,59.99,-4.38,-11.72
Kerosene,1 litre,66.26,77.68,2018,May,79.18,1.93,19.49
Charcoal,4 Kg,81.37,123.69,2018,May,135.64,9.66,66.69
Rent,1 Room,"4,108.70","4,307.18",2018,May,"4,310.68",0.08,4.92
Gas - (LPG),13 Kg,"2,104.29","2,172.18",2018,May,"2,164.43",-0.36,2.86
Electricity,200 Kwh,"3,633.06","4,322.10",2018,May,"4,178.26",-3.33,15.01
Electricity,50 Kwh,573.67,745.93,2018,May,709.97,-4.82,23.76
Petrol,1 litre,100.48,107.70,2018,May,108.04,0.31,7.52
Diesel,1 litre,89.02,99.82,2018,May,99.60,-0.22,11.88
