
Broad Commodity Group,Weight,"% Change on
last month
(Nov18
/Oct18)","% Change on
same month of
previous year
(Nov18
/Nov17)",2018,November,,,
Food and Non-Alcoholic Beverages,36.04,-0.15,1.72,2018,November,,,
"Alcoholic Beverages, Tobacco and Narcotics",2.06,0.32,7.20,2018,November,,,
Clothing and Footwear,7.43,0.13,4.15,2018,November,,,
"Housing, Water, Electricity, Gas and other Fuels",18.30,-1.24,13.69,2018,November,,,
"Furnishings, Household Equipment and Routine
Household Maintenance",6.16,0.02,4.37,2018,November,,,
Health,3.13,0.13,4.81,2018,November,,,
Transport,8.66,0.81,15.57,2018,November,,,
Communication,3.82,0.46,4.74,2018,November,,,
Recreation and Culture,2.25,0.03,1.51,2018,November,,,
Education,3.14,0.14,4.94,2018,November,,,
Restaurant and Hotels,4.48,-0.01,4.20,2018,November,,,
Miscellaneous Goods and Services,4.52,0.15,4.18,2018,November,,,
Total,100.00,-0.18,5.58,2018,November,,,
Commodity Name,"Units of
measure","Average
price -
November
2017","Average
price -
October
2018",2018,November,"Average
price -
November
2018","% Change
over last
month (Nov
18/Oct 18)","% Change
over a year
ago (Nov
18/nov17)"
Maize Grain - Loose,1 Kg,57.06,34.53,2018,November,34.25,-0.82,-39.98
Maize flour-Loose,1 Kg,59.85,41.54,2018,November,41.51,-0.06,-30.64
Beans,1 Kg,116.08,106.99,2018,November,107.89,0.84,-7.05
Wheat Flour,2 Kg,134.25,120.90,2018,November,122.45,1.28,-8.78
Beef - With Bones,1 Kg,424.20,444.38,2018,November,445.91,0.34,5.12
Milk - Fresh Packeted,500 Ml,60.15,60.68,2018,November,60.58,-0.16,0.72
Orange,1 Kg,86.18,96.13,2018,November,97.74,1.68,13.43
Cabbages,1 Kg,35.79,41.47,2018,November,39.66,-4.37,10.82
Carrots,1 Kg,53.77,57.70,2018,November,56.06,-2.85,4.25
Onions,1 Kg,127.52,84.06,2018,November,83.66,-0.47,-34.39
Sugar,1 Kg,137.77,130.29,2018,November,127.38,-2.23,-7.54
House Rent,Single room,"4,246.53","4,415.95",2018,November,"4,431.55",0.35,4.36
Electricity,200 KW/h,"3,937.30","4,419.94",2018,November,"4,434.48",0.33,12.63
Electricity,50 KW/h,649.73,"1,104.99",2018,November,757.72,-31.43,16.62
Gas -(LPG),13 Kg,"2,128.59","2,185.79",2018,November,"2,193.42",0.35,3.05
Petrol,1 litre,103.58,116.48,2018,November,117.54,0.91,13.48
Diesel,1 litre,93.37,110.57,2018,November,108.97,-1.45,16.71
City Bus/Matatu Fares,short distance,45.07,48.26,2018,November,49.84,3.28,10.59
Matatu Fares,250 Km,400.21,426.67,2018,November,431.00,1.02,7.69
Boda Boda Fares,short distance,41.94,46.24,2018,November,47.24,2.16,12.62
