
Broad Commodity Group,Weight,"% Change on
last month
(Sep18
/Aug18)","% Change on
same month of
previous year
(Sep18 /Sep17)",2018,September,,,
Food and Non-Alcoholic Beverages,36.04,0.37,0.50,2018,September,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.73,6.48,2018,September,,,
Clothing and Footwear,7.43,0.40,4.58,2018,September,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.30,0.47,17.44,2018,September,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.38,4.86,2018,September,,,
Health,3.13,0.26,5.90,2018,September,,,
Transport,8.66,7.99,17.29,2018,September,,,
Communication,3.82,0.00,0.61,2018,September,,,
Recreation and Culture,2.25,0.10,1.61,2018,September,,,
Education,3.14,0.00,4.90,2018,September,,,
Restaurant and Hotels,4.48,0.25,5.04,2018,September,,,
Miscellaneous Goods and Services,4.52,0.31,4.30,2018,September,,,
Commodity Name,"Units of
Measure","Average Price
September
2017","Average
Price
August
2018",2018,September,"Average Price
September
2018","% Change
on last
month","% Change
on same
month last
year"
Potatoes (Irish),1 Kg,53.13,7 3.62,2018,September,77.60,5.4,46.0
Kale-Sukuma Wiki,1 Kg,41.48,5 5.59,2018,September,57.03,2.6,37.5
Beef - With Bones,1 Kg,4 20.11,442.95,2018,September,443.21,0.1,5.5
Sugar,1 Kg,1 42.42,147.33,2018,September,152.29,3.4,6.9
Carrots,1 Kg,67.55,6 1.19,2018,September,59.35,-3.0,-12.1
Cabbages,1 Kg,46.58,4 2.58,2018,September,43.53,2.2,-6.5
Beans,1 Kg,1 15.59,106.94,2018,September,107.20,0.2,-7.3
Wheat Flour,2 Kg,1 35.16,119.04,2018,September,120.83,1.5,-10.6
Maize Grain - Loose,1 Kg,57.84,4 2.39,2018,September,40.55,-4.3,-29.9
Maize Flour - Loose,1 Kg,59.27,4 5.00,2018,September,43.59,-3.1,-26.5
Tomatoes,1 Kg,1 03.45,7 2.88,2018,September,70.55,-3.2,-31.8
Charcoal,4 Kg,81.86,137.71,2018,September,141.24,2.6,72.5
Electricity,50 Kwh,5 81.79,"1,063.72",2018,September,"1,064.21",0.0,82.9
House rent,1 Room,"4,177.08","4,403.40",2018,September,"4,406.45",0.1,5.5
Electricity,200 Kwh,"3,665.54","4,392.82",2018,September,"4,394.80",0.0,19.9
Kerosene,1 litre,65.34,85.90,2018,September,109.25,27.2,67.2
Matatu Fares,250 Km,3 96.86,416.75,2018,September,449.77,7.9,13.3
Petrol,1 litre,99.20,114.58,2018,September,117.54,2.6,18.5
Country Bus Fares,350 Km,9 82.99,"1,098.38",2018,September,"1,171.93",6.7,19.2
Diesel,1 litre,87.84,103.69,2018,September,108.97,5.1,24.1
