
Broad Commodity Group,Weight,"% Change on
last month
(Apr19
/Mar19)","% Change on
same month of
previous year
(Apr19 /Apr18)",2019,April,,,
Food and Non-Alcoholic Beverages,36.04,6.86,8.17,2019,April,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,1.32,8.83,2019,April,,,
Clothing and Footwear,7.43,0.24,2.33,2019,April,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.30,0.93,5.78,2019,April,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.05,2.50,2019,April,,,
Health,3.13,0.03,4.55,2019,April,,,
Transport,8.66,0.86,10.84,2019,April,,,
Communication,3.82,0.02,4.56,2019,April,,,
Recreation and Culture,2.25,0.11,0.69,2019,April,,,
Education,3.14,0.22,1.45,2019,April,,,
Restaurant and Hotels,4.48,0.75,3.23,2019,April,,,
Miscellaneous Goods and Services,4.52,0.17,3.07,2019,April,,,
Total,100.00,3.51,6.58,2019,April,,,
Commodity Name,"Units of
measure","Average
price - April
2018","Average
price -
March 2019",2019,April,"Average price
April 2019","% Change
over last
month
(Apr19/
Mar19)","% Change
over a year
ago
(Apr19/
Apr18)"
Maize Flour - Sifted,2 Kg,1 24.01,8 6.47,2019,April,1 12.26,29.82,-9.5
Kale-Sukuma Wiki,1 Kg,55.12,5 2.99,2019,April,66.40,25.30,20.4
Potatoes (Irish),1 Kg,67.33,8 2.08,2019,April,97.89,19.27,45.4
Maize Grain - Loose,1 Kg,61.15,3 5.74,2019,April,45.08,26.14,-26.3
Tomatoes,1 Kg,1 04.26,9 0.23,2019,April,1 04.05,15.31,-0.2
Maize Flour - Loose,1 Kg,62.74,4 1.56,2019,April,48.16,15.90,-23.2
Sugar,1 Kg,1 31.22,117.33,2019,April,1 02.55,-12.59,-21.8
Cabbages,1 Kg,42.21,4 1.68,2019,April,46.59,11.77,10.4
Spinach,1 Kg,65.51,5 7.58,2019,April,70.54,22.51,7.7
Petrol,1 litre,1 07.70,102.13,2019,April,1 07.57,5.32,-0.1
Diesel,1 litre,98.82,9 7.47,2019,April,1 03.09,5.77,4.3
Kerosene,1 litre,77.68,100.31,2019,April,1 02.49,2.17,31.9
Cooking Oil,1 litre,2 50.50,249.22,2019,April,2 48.94,-0.11,-0.6
Gas - (LPG),13 Kg,"2,172.24","2,191.84",2019,April,"2,184.85",-0.32,0.6
Electricity,50 KWh,7 45.93,777.98,2019,April,7 78.73,0.10,4.4
Electricity,200 KWh,"4,322.10","4,515.51",2019,April,"4,518.50",0.07,4.5
House Rent,One Room,"4,307.18","4,473.65",2019,April,"4,486.83",0.29,4.2
