
Broad Commodity Group,Weight,"% Change on last
month August19
/July19)","% Change on same
month of previous
year (August19
/August18)",2019,August,,
Food and Non-Alcoholic Beverages,36.04,-1.89,7.13,2019,August,,
"Alcoholic Beverages, Tobacco and Narcotics",2.06,0.27,6.73,2019,August,,
Clothing and Footwear,7.43,0.05,1.79,2019,August,,
"Housing, Water, Electricity, Gas and other
Fuels",18.30,-0.10,1.39,2019,August,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.14,1.82,2019,August,,
Health,3.13,0.02,1.58,2019,August,,
Transport,8.66,-0.03,9.53,2019,August,,
Communication,3.82,0.00,4.44,2019,August,,
Recreation and Culture,2.25,0.01,0.46,2019,August,,
Education,3.14,-0.04,1.52,2019,August,,
Restaurant and Hotels,4.48,0.02,2.27,2019,August,,
Miscellaneous Goods and Services,4.52,-0.04,2.52,2019,August,,
Total,100.00,-0.90,5.00,2019,August,,
Commodity Name,"Unit of
measure","Average
price -
August 2018","Average price
- July 2019",2019,August,"Average
price August
2019","% Change
over last
month
(August
19/ July19)"
Kale-Sukuma Wiki,1 Kg,4 5.30,40.43,2019,August,37.19,-8.01
Potatoes (Irish),1 Kg,7 3.62,73.14,2019,August,67.43,-7.81
Cabbages,1 Kg,4 2.58,46.40,2019,August,43.26,-6.78
Carrots,1 Kg,6 1.19,77.12,2019,August,72.49,-6.01
Tomatoes,1 Kg,7 2.88,94.81,2019,August,90.17,-4.89
Maize Grain - Loose,1 Kg,4 2.39,48.96,2019,August,47.58,-2.80
Sugar,1 Kg,147.33,1 07.93,2019,August,107.22,-0.66
Maize Flour - Sifted,2 Kg,9 9.35,1 19.89,2019,August,119.80,-0.07
Beef - With Bones,1 Kg,442.95,4 51.53,2019,August,454.70,0.70
Mangoes,1 Kg,111.71,1 20.68,2019,August,121.93,1.03
Diesel,1 litre,103.69,1 04.74,2019,August,101.45,-3.14
Petrol,1 litre,114.58,1 16.14,2019,August,113.29,-2.45
Gas -(LPG),13 Kg,"2,177.32","2,171.47",2019,August,"2,150.27",-0.98
Electricity,200 Kwh,"4,392.82","4,752.91",2019,August,"4,776.70",0.50
Electricity,50 Kwh,"1,063.72",8 37.33,2019,August,843.27,0.71
Kerosene,1 litre,8 5.90,1 02.83,2019,August,104.80,1.92
