
Broad Commodity Group,Weight,"% Change on last
month
Dec2019/ Nov
2019 )","% Change on same
month of previous
year (Dec 2019
/Dec 2018)",2019,December,,,
Food and Non-Alcoholic Beverages,36.04,1.46,10.02,2019,December,,,
"Alcoholic Beverages, Tobacco and Narcotics",2.06,-0.03,7.37,2019,December,,,
Clothing and Footwear,7.43,0.18,1.52,2019,December,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.30,0.01,2.40,2019,December,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.01,1.24,2019,December,,,
Health,3.13,0.06,1.20,2019,December,,,
Transport,8.66,2.10,2.74,2019,December,,,
Communication,3.82,0.00,0.29,2019,December,,,
Recreation and Culture,2.25,0.02,0.23,2019,December,,,
Education,3.14,0.00,1.38,2019,December,,,
Restaurant and Hotels,4.48,0.05,2.12,2019,December,,,
Miscellaneous Goods and Services,4.52,0.12,1.67,2019,December,,,
Total,100.00,0.90,5.82,2019,December,,,
Commodity Name,"Unit of
Measure","Average
Price Dec
18","Average
Price Nov
19",2019,December,"Average
Price Dec
19","% Change over
last month Dec
19/Nov 19","% Change over
last Year Dec
19/Dec 18"
Beans,1 Kg,107.68,123.08,2019,December,124.95,1.51,16.03
Maize Flour - Sifted,2 Kg,86.55,130.77,2019,December,131.77,0.77,52.26
Beef - With Bones,1 Kg,447.47,456.30,2019,December,461.36,1.11,3.10
Milk - Fresh Unpacketed,1000 ml,60.96,64.59,2019,December,64.16,-0.67,5.24
Mangoes,1 Kg,115.40,125.92,2019,December,121.58,-3.44,5.35
Spinach,1 Kg,44.50,39.81,2019,December,43.43,9.10,-2.40
Kale-Sukuma Wiki,1 Kg,43.24,37.32,2019,December,39.40,5.59,-8.88
Tomatoes,1 Kg,75.74,95.78,2019,December,103.22,7.78,36.29
Onions,1 Kg,85.66,92.92,2019,December,97.67,5.11,14.02
Potatoes (Irish),1 Kg,75.17,71.32,2019,December,72.58,1.77,-3.44
Sugar,1 Kg,125.20,104.19,2019,December,108.48,4.12,-13.35
Electricity,200 KWh,"4 ,434.48","4 ,620.08",2019,December,"4 ,515.68",-2.26,1.83
Electricity,50 KWh,757.72,804.12,2019,December,778.02,-3.25,2.68
Kerosene,1 litre,106.15,104.53,2019,December,102.81,-1.65,-3.15
Charcoal,4 Kg,141.62,151.03,2019,December,152.37,0.88,7.59
House Rent,one room,"4,436.45","4,526.75",2019,December,"4,526.75",0.00,2.04
Petrol,1 litre,114.96,110.99,2019,December,109.91,-0.97,-4.39
Diesel,1 litre,111.89,105.10,2019,December,102.28,-2.68,-8.59
