
Broad Commodity Group,Weight,"% Change on
last month
(Feb19
/Jan19)","% Change on
same month of
previous year
(Feb19 /Feb18)",2019,February,,,
Food and Non-Alcoholic Beverages,36.04,1.70,1.09,2019,February,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,1.14,7.33,2019,February,,,
Clothing and Footwear,7.43,0.13,2.43,2019,February,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.30,0.12,12.35,2019,February,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.24,3.03,2019,February,,,
Health,3.13,0.44,4.47,2019,February,,,
Transport,8.66,-0.50,9.56,2019,February,,,
Communication,3.82,0.07,4.52,2019,February,,,
Recreation and Culture,2.25,0.09,0.83,2019,February,,,
Education,3.14,0.00,1.24,2019,February,,,
Restaurant and Hotels,4.48,0.18,3.04,2019,February,,,
Miscellaneous Goods and Services,4.52,0.26,3.16,2019,February,,,
Total,100.00,0.82,4.14,2019,February,,,
Commodity Name,"Units of
measure","Average
price -
February
2018","Average
price -
January
2019",2019,February,"Average
price -
February
2019","% Change
over last
month
(Feb19/
Jan19)","% Change
over a
year ago
(Feb19/
Feb18)"
Maize Grain - Loose,1 Kg,60.37,3 5.23,2019,February,3 5.63,1.11,-40.99
Beans,1 Kg,1 16.19,108.64,2019,February,109.82,1.09,-5.48
Maize Flour - Sifted,2 Kg,1 25.03,8 7.20,2019,February,8 6.67,-0.61,-30.68
Wheat Flour,2 Kg,1 20.00,123.64,2019,February,122.82,-0.66,2.35
Spinach,1 Kg,62.73,4 6.41,2019,February,4 9.77,7.25,-20.66
Kale-Sukuma Wiki,1 Kg,53.06,4 4.32,2019,February,4 7.30,6.73,-10.86
Tomatoes,1 Kg,98.82,7 6.69,2019,February,8 2.39,7.44,-16.63
Cabbages,1 Kg,40.97,3 8.28,2019,February,3 9.59,3.43,-3.36
Carrots,1 Kg,56.97,6 3.93,2019,February,6 5.73,2.82,15.39
Potatoes (Irish),1 Kg,60.07,7 5.42,2019,February,7 6.42,1.33,27.22
Sugar,1 Kg,1 31.02,122.00,2019,February,119.86,-1.75,-8.51
House rent,One room,"4,291.93","4,456.98",2019,February,"4,465.20",0.18,4.04
Electricity,200 KWh,"4,067.22","4,485.52",2019,February,"4,561.90",1.70,12.16
Electricity,50 KWh,682.21,7 70.48,2019,February,789.57,2.48,15.74
Kerosene,1 litre,77.71,102.56,2019,February,9 7.36,-5.07,25.29
Charcoal,4 Kg,84.49,141.22,2019,February,141.04,-0.12,66.93
Petrol,1 litre,1 08.79,103.10,2019,February,101.13,-1.91,-7.03
Diesel,1 litre,97.92,104.99,2019,February,9 6.83,-7.77,-1.11
