
Broad Commodity Group,Weight,"% Change on last
month (July19
/June19)","% Change on same
month of previous
year (July19
/July18)",2019,July,,,
Food and Non-Alcoholic Beverages,36.04,-1.04,8.47,2019,July,,,
"Alcoholic Beverages, Tobacco and Narcotics",2.06,0.82,9.58,2019,July,,,
Clothing and Footwear,7.43,0.07,1.94,2019,July,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.30,0.14,4.09,2019,July,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.07,1.93,2019,July,,,
Health,3.13,0.02,1.77,2019,July,,,
Transport,8.66,0.22,10.52,2019,July,,,
Communication,3.82,0.00,4.45,2019,July,,,
Recreation and Culture,2.25,0.03,0.54,2019,July,,,
Education,3.14,0.06,1.56,2019,July,,,
Restaurant and Hotels,4.48,0.17,2.80,2019,July,,,
Miscellaneous Goods and Services,4.52,0.17,2.84,2019,July,,,
Total,100.00,-0.36,6.27,2019,July,,,
Commodity Name,"Unit of
measure","Average
price - July
2018","Average price
- June 2019",2019,July,"Average
price July
2019","% Change
over last
month
(July19/
June19)","% Change
over a year
ago
(July19/
July18)"
Maize Grain - Loose,1 Kg,51.47,48.70,2019,July,4 8.96,0.52,-4.89
Maize Flour - Loose,1 Kg,57.27,53.18,2019,July,5 3.89,1.33,-5.89
Maize Flour - Sifted,2 Kg,1 02.50,119.61,2019,July,119.89,0.23,16.96
Beef - With Bones,1 Kg,4 38.71,450.49,2019,July,451.53,0.23,2.92
Milk - Fresh Packeted,500 Ml,51.74,57.53,2019,July,5 7.19,-0.59,10.52
Kale-Sukuma Wiki,1 Kg,57.58,42.02,2019,July,4 0.43,-3.78,-29.79
Tomatoes,1 Kg,95.60,96.65,2019,July,9 4.81,-1.91,-0.83
Cabbages,1 Kg,40.53,47.73,2019,July,4 6.40,-2.78,14.48
Carrots,1 Kg,63.04,72.20,2019,July,7 7.12,6.81,22.33
Onions,1 Kg,1 25.00,101.93,2019,July,103.14,1.19,-17.49
Potatoes (Irish),1 Kg,60.12,82.87,2019,July,7 3.14,-11.74,21.66
Sugar,1 Kg,1 37.11,109.12,2019,July,107.93,-1.09,-21.28
Cigarettes,1 Packet,1 25.12,135.77,2019,July,137.18,1.04,9.63
Electricity,200 KWh,"4,122.26","4,732.12",2019,July,"4,752.91",0.44,15.30
Electricity,50 KWh,6 95.97,832.13,2019,July,837.33,0.62,20.31
House rent,Single room,"4,344.58","4,496.38",2019,July,"4,496.38",0.00,3.49
Gas -(LPG),13 Kg,"2,176.31","2,192.25",2019,July,"2,171.47",-0.95,-0.22
Kerosene,1 litre,86.69,105.11,2019,July,102.83,-2.17,18.62
Petrol,1 litre,1 13.07,115.82,2019,July,116.14,0.28,2.72
Diesel,1 litre,1 04.21,105.57,2019,July,104.74,-0.79,0.51
