
Broad Commodity Group,Weight,"% Change on
last month
(Mar19
/Feb19)","% Change on
same month of
previous year
(Mar19
/Mar18)",2019,March,,,
Food and Non-Alcoholic Beverages,36.04,3.30,2.84,2019,March,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.60,7.71,2019,March,,,
Clothing and Footwear,7.43,0.11,2.37,2019,March,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.30,-0.06,8.19,2019,March,,,
"Furnishings, Household Equipment
and Routine Household Maintenance",6.16,0.14,2.95,2019,March,,,
Health,3.13,0.03,4.51,2019,March,,,
Transport,8.66,0.42,10.08,2019,March,,,
Communication,3.82,0.00,4.52,2019,March,,,
Recreation and Culture,2.25,-0.17,0.58,2019,March,,,
Education,3.14,0.00,1.24,2019,March,,,
Restaurant and Hotels,4.48,0.08,3.04,2019,March,,,
Miscellaneous Goods and Services,4.52,0.31,3.15,2019,March,,,
Total,100.00,1.60,4.35,2019,March,,,
Commodity Name,"Units of
measure","Average
price -
March 2018","Average
price -
February
2019",2019,March,"Average
price
March
2019","% Change
over last
month
(Mar19/F
eb19)","% Change
over a
year ago
(Mar19/
Mar18)"
Beans,1 Kg,116.87,109.82,2019,March,111.31,1.35,-4.76
Maize Flour - Loose,1 Kg,62.78,42.07,2019,March,41.56,-1.22,-33.81
Maize Flour - Sifted,2 Kg,124.51,86.67,2019,March,86.47,-0.22,-30.55
Milk - Fresh Unpacketed,1000 ml,61.17,61.37,2019,March,61.85,0.78,1.10
Orange,1 Kg,89.78,104.78,2019,March,120.56,15.07,34.29
Mangoes,1 Kg,98.11,114.69,2019,March,121.52,5.95,23.85
Kale-Sukuma Wiki,1 Kg,56.10,47.30,2019,March,52.99,12.02,-5.55
Capsicums (Pilipili Hoho),1 Kg,109.97,126.81,2019,March,146.33,15.39,33.07
Tomatoes,1 Kg,101.16,82.39,2019,March,90.23,9.52,-10.80
Cabbages,1 Kg,41.63,39.59,2019,March,41.68,5.26,0.11
Carrots,1 Kg,58.91,65.73,2019,March,69.02,5.00,17.16
Potatoes (Irish),1 Kg,61.94,76.42,2019,March,82.08,7.40,32.50
Sugar,1 Kg,131.19,119.86,2019,March,117.33,-2.11,-10.57
House rent,Single room,"4,298.98","4,465.20",2019,March,"4,473.65",0.19,4.06
Kerosene,1 Litre,78.41,97.36,2019,March,100.31,3.03,27.94
Electricity,50 KWh,730.93,789.57,2019,March,777.98,-1.47,6.44
Electricity,200 KWh,"4,262.10","4,561.90",2019,March,"4,515.51",-1.02,5.95
Petrol,1 Litre,108.33,101.13,2019,March,102.13,0.99,-5.72
Diesel,1 Litre,98.82,96.83,2019,March,97.47,0.66,-1.37
