
Broad Commodity Group,Weight,"% Change on last
month (May19
/Apr19)","% Change on same
month of previous year
(May19 /May18)",2019,May,,,
Food and Non-Alcoholic Beverages,36.04,-0.37,6.33,2019,May,,,
"Alcoholic Beverages, Tobacco and Narcotics",2.06,-0.12,8.75,2019,May,,,
Clothing and Footwear,7.43,0.10,2.12,2019,May,,,
"Housing, Water, Electricity, Gas and other Fuels",18.30,0.61,4.56,2019,May,,,
"Furnishings, Household Equipment and Routine
Household Maintenance",6.16,0.22,2.46,2019,May,,,
Health,3.13,0.04,4.01,2019,May,,,
Transport,8.66,0.32,11.08,2019,May,,,
Communication,3.82,0.01,4.52,2019,May,,,
Recreation and Culture,2.25,0.01,0.50,2019,May,,,
Education,3.14,0.01,1.47,2019,May,,,
Restaurant and Hotels,4.48,0.03,2.96,2019,May,,,
Miscellaneous Goods and Services,4.52,0.02,2.92,2019,May,,,
Total,100.00,-0.07,5.49,2019,May,,,
Commodity Name,"Units of
measure","Average price
(KSh)- May
2018","Average
price (KSh)-
April 2019",2019,May,"Average price-
(KSh) May
2019","% Change
over last
month
(May19/
Apr19)","% Change
over a year
ago
(May19/
May18)"
Maize Grain - Loose,1 Kg,58.10,45.08,2019,May,48.45,7.47,-16.61
Beans,1 Kg,1 15.39,114.19,2019,May,118.72,3.97,2.89
Maize Flour - Sifted,2 Kg,1 21.81,112.26,2019,May,118.63,5.68,-2.61
Spinach,1 Kg,69.12,70.54,2019,May,63.00,-10.69,-8.85
Kale-Sukuma Wiki,1 Kg,56.02,66.40,2019,May,60.19,-9.35,7.43
Tomatoes,1 Kg,1 20.39,104.05,2019,May,97.00,-6.78,-19.43
Cabbages,1 Kg,41.91,46.59,2019,May,48.22,3.51,15.07
Potatoes (Irish),1 Kg,68.67,97.89,2019,May,99.42,1.56,44.79
Sugar,1 Kg,1 29.50,102.55,2019,May,108.87,6.15,-15.94
House rent,1 Room,"4,310.68","4,486.83",2019,May,"4 ,496.38",0.21,4.31
Electricity,200 KWh,"4,178.26","4,518.50",2019,May,"4 ,762.74",5.41,13.99
Electricity,50 KWh,709.97,778.73,2019,May,839.79,7.84,18.29
Kerosene,1 litre,79.31,102.49,2019,May,105.48,2.91,32.99
Petrol,1 litre,1 07.58,107.57,2019,May,112.79,4.85,4.84
Diesel,1 litre,99.61,103.09,2019,May,105.23,2.07,5.64
