
Broad Commodity Group,Weight,"% Change on last
month
Nov2019/ Oct
2019 )","% Change on same
month of previous
year (Nov 2019
/Nov 2018)",2019,November,,,
Food and Non-Alcoholic Beverages,36.04,0.62,9.58,2019,November,,,
"Alcoholic Beverages, Tobacco and Narcotics",2.06,0.19,7.53,2019,November,,,
Clothing and Footwear,7.43,0.13,1.47,2019,November,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.30,0.29,2.47,2019,November,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.04,1.33,2019,November,,,
Health,3.13,0.03,1.30,2019,November,,,
Transport,8.66,0.29,1.98,2019,November,,,
Communication,3.82,0.04,0.29,2019,November,,,
Recreation and Culture,2.25,0.00,0.31,2019,November,,,
Education,3.14,0.01,1.44,2019,November,,,
Restaurant and Hotels,4.48,0.43,2.38,2019,November,,,
Miscellaneous Goods and Services,4.52,0.04,1.88,2019,November,,,
Total,100.00,0.40,5.56,2019,November,,,
Commodity Name,Unit of measure,"Average price -
November
2018","Average price -
October 2019",2019,November,"Average price
November
2019","% Change
over last
month
(Nov19/
Oct 19)","% Change
over a year
ago (Nov
19/ Nov 18)"
Potatoes (Irish),1 Kg,7 7.80,6 6.64,2019,November,7 1.32,7.0,-8.3
Tomatoes,1 Kg,6 6.93,9 0.28,2019,November,9 5.78,6.1,43.1
Maize Flour - Sifted,2 Kg,8 4.32,125.40,2019,November,130.77,4.3,55.1
Maize Flour - Loose,1 Kg,4 1.51,5 4.96,2019,November,5 6.26,2.4,35.5
Green Grams,1 Kg,152.66,187.52,2019,November,194.84,3.9,27.6
Wheat Flour,2 Kg,122.45,126.31,2019,November,125.56,-0.6,2.5
Beans,1 Kg,107.89,124.03,2019,November,123.08,-0.8,14.1
Kale-Sukuma Wiki,1 Kg,4 4.62,3 7.58,2019,November,3 7.32,-0.7,-16.4
Milk - Fresh Unpacketed,1000 ml,6 0.70,6 7.38,2019,November,6 4.59,-4.1,6.4
Sugar,1 Kg,127.38,104.72,2019,November,104.19,-0.5,-18.2
Mineral Waters,1 litre,7 6.86,7 7.24,2019,November,7 9.10,2.4,2.9
Electricity,200 KWh,"4,434.48","4,696.55",2019,November,"4,620.08",-1.6,4.2
Electricity,50 KWh,757.72,823.24,2019,November,804.12,-2.3,6.1
House Rent,1 Room,"4,431.55","4,518.53",2019,November,"4,526.75",0.2,2.1
Charcoal,4 Kg,141.12,147.17,2019,November,151.03,2.6,7.0
Gas -(LPG),13 Kg,"2,193.42","2,124.79",2019,November,"2,100.88",-1.1,-4.2
Kerosene,1 litre,109.25,101.94,2019,November,104.53,2.5,-4.3
Petrol,1 litre,117.54,108.83,2019,November,110.99,2.0,-5.6
Diesel,1 litre,108.97,102.82,2019,November,105.10,2.2,-3.6
