
Broad Commodity Group,Weight,"% Change on
last month
(Feb 2020/
Jan 2020 )","% Change on
same month of
previous year
(Feb 2020 /Feb
2019)",2020,February,,,
Food and Non-Alcoholic Beverages,36.04,2.61,10.58,2020,February,,,
"Alcoholic Beverages, Tobacco and
Narcotics",2.06,0.01,6.86,2020,February,,,
Clothing and Footwear,7.43,0.12,1.77,2020,February,,,
"Housing, Water, Electricity, Gas and
other Fuels",18.30,0.47,3.02,2020,February,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.09,0.93,2020,February,,,
Health,3.13,0.09,0.85,2020,February,,,
Transport,8.66,0.32,5.02,2020,February,,,
Communication,3.82,0.00,0.12,2020,February,,,
Recreation and Culture,2.25,0.05,0.31,2020,February,,,
Education,3.14,0.14,1.80,2020,February,,,
Restaurant and Hotels,4.48,-0.01,2.13,2020,February,,,
Miscellaneous Goods and Services,4.52,0.25,1.32,2020,February,,,
Total,100.00,1.38,6.37,2020,February,,,
"Commodity
Name","Unit of
Measure","Average
Price Feb
2019","Average
Price Jan
2020",2020,February,"Average
Price Feb
2020","% Change
over last
month Feb
2020/ Jan
2020","% Change over
last Year Feb
2020/ Feb
2019"
Tomatoes,1 Kg,82.39,103.24,2020,February,133.80,29.59,62.40
"Maize Grain
- Loose",1 Kg,35.63,51.53,2020,February,50.86,-1.30,42.77
Onions,1 Kg,89.41,102.80,2020,February,110.29,7.28,23.35
Beans,1 Kg,109.82,125.55,2020,February,125.82,0.21,14.56
"Milk - Fresh
Unpacketed",1000 Ml,61.37,64.56,2020,February,64.56,0.00,5.20
"Beef - With
Bones",1 Kg,447.65,461.36,2020,February,461.70,0.07,3.14
Wheat Flour,2 Kg,122.82,125.81,2020,February,124.13,-1.34,1.07
Mangoes,1 Kg,114.69,120.06,2020,February,109.99,-8.39,-4.10
"Potatoes
(Irish)",1 Kg,76.42,72.46,2020,February,72.80,0.47,-4.74
Carrots,1 Kg,65.73,61.07,2020,February,61.79,1.19,-5.99
Spinach,1 Kg,49.77,45.34,2020,February,46.76,3.15,-6.05
