
Broad Commodity Group,Weight,"% Change on last
month Jan
2020/ Dec
2019 )","% Change on same
month of previous
year (Jan 2020
/Jan 2019)",2020,January,,,
Food and Non-Alcoholic Beverages,36.04,0.39,9.60,2020,January,,,
"Alcoholic Beverages, Tobacco and Narcotics",2.06,0.86,8.07,2020,January,,,
Clothing and Footwear,7.43,0.36,1.78,2020,January,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.30,0.45,2.66,2020,January,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.04,1.09,2020,January,,,
Health,3.13,0.35,1.19,2020,January,,,
Transport,8.66,-0.04,4.16,2020,January,,,
Communication,3.82,0.00,0.19,2020,January,,,
Recreation and Culture,2.25,0.19,0.36,2020,January,,,
Education,3.14,1.26,1.65,2020,January,,,
Restaurant and Hotels,4.48,0.36,2.32,2020,January,,,
Miscellaneous Goods and Services,4.52,0.06,1.34,2020,January,,,
Total,100.00,0.31,5.78,2020,January,,,
Commodity Name,"Unit of
Measure","Average
Price Jan
2019","Average
Price Dec
2019",2020,January,"Average
Price Jan
2020","%
Change
over
last
month
Jan
2020/
Dec19","%
Change
over
last
Year
Jan
2020/
Jan19"
Maize Grain - Loose,1 Kg,35.23,51.42,2020,January,51.53,0.21,46.25
Green Grams,1 Kg,156.19,197.66,2020,January,195.70,-0.99,25.29
Maize Flour - Sifted,2 Kg,87.20,131.77,2020,January,131.90,0.10,51.27
Milk - Fresh Unpacketed,1000 ml,61.28,64.16,2020,January,64.56,0.62,5.35
Cooking Fat,1 KG,235.49,231.54,2020,January,230.70,-0.36,-2.04
Spinach,1 Kg,46.41,43.43,2020,January,45.34,4.38,-2.31
Cabbages,1 Kg,38.28,37.98,2020,January,37.89,-0.23,-1.02
Carrots,1 Kg,63.93,59.16,2020,January,61.07,3.22,-4.48
Onions,1 Kg,87.27,97.67,2020,January,102.80,5.25,17.80
Potatoes (Irish),1 Kg,75.42,72.58,2020,January,72.46,-0.17,-3.93
Sugar,1 Kg,122.00,108.48,2020,January,108.79,0.28,-10.83
House Rent,"2
Bedrooms
(Flats)","21,559.20","21,734.57",2020,January,"21,915.40",0.83,1.65
House Rent,One Room,"4,456.98","4,526.75",2020,January,"4,634.73",2.39,3.99
Kerosene,1 litre,102.56,102.81,2020,January,104.46,1.60,1.85
Electricity,200 KWh,"4,485.52","4,514.49",2020,January,"4,480.86",-0.74,-0.10
Electricity,50 KWh,770.48,777.72,2020,January,769.32,-1.08,-0.15
Gas -(LPG),13 Kg,"2,193.13","2,101.16",2020,January,"2,144.81",2.08,-2.20
