Commodity Name,"Units of
Measure",,,,,"Average Price
January 2015","Average price 
December 2015 ",change,% change
Beef With Bones,1 Kg,,,,,387.96,,,
Cabbages,1 Kg,,,,,32.56,,,
"Sukuma Wiki
(Kales)",1 Kg,,,,,32.97,,,
Tomatoes,1 Kg,,,,,90.06,,,
Onions,1 Kg,,,,,94.24,,,
Potatoes (Irish),1 Kg,,,,,46.32,,,
Maize Flour - Sifted,2 Kg,,,,,100.93,,,
Maize Grain - Loose,1 Kg,,,,,42.18,,,
Maize Flour - Loose,1 Kg,,,,,44.59,,,
Matatu Fares,About 250 Km,,,,,403.45,,,
Country Bus Fares,About 350 Km,,,,,964.01,,,
Kerosene,1 litre,,,,,66.53,,,
Gas(LPG),13 Kg,,,,,"2,954.36",,,
Electricity,50 KW/h,,,,,502.4,,,
Electricity,200 KW/h,,,,,"3,432.92",,,
Diesel,1 litre,,,,,84.3,,,
Petrol,1 litre,,,,,93.75,,,
