Year ,Month,Inflation Rate (%),CPI,Food CPI,"Exchange Rate
 (KES/USD)",Interest Rate (%)
2025,February,3.5,143.12,118,128.7,10.75
2025,January,3.3,142.68,116.1,129,11.25
2024,December,3,141.66,120.4,128.85,11.25
2024,November,2.8,140.81,120.7,129.5,12
2024,October,2.7,140.44,119.9,128.5,12
2024,September,3.6,140.13,117.7,128.5,12.75
2024,August,4.4,139.87,115,128.25,12.75
2024,July,4.3,139.94,114.2,128.5,13
2024,June,4.6,140.23,114.3,128.75,13
2024,May,5.1,139.64,113.8,130,13
2024,April,5,138.4,112.7,134.5,13
2024,March,5.7,138.66,112.4,131.25,13
2024,February,6.3,138.34,111,146.5,13
2024,January,6.9,138.15,111.2,160,12.5
2023,December,6.6,137.55,114.5,156.5,12.5
2023,November,6.8,137.03,116,153.15,10.5
2023,October,6.8,136.71,116.1,150.45,10.5
2023,September,6.9,135.32,117,148.1,10.5
2023,August,6.7,134.02,117.1,145.4,10.5
2023,July,7.3,134.15,119.6,142.5,10.5
2023,June,7.9,134.01,118.3,140.5,10.5
2023,May,8,133.01,119.7,138.5,9.5
2023,April,7.9,131.83,123.5,135.9,9.5
2023,March,9.2,131.18,123.1,132.4,9.5
2023,February,9.2,130.13,125.7,126.85,8.75
2023,January,9,129.29,126.4,124.4,8.75
2022,December,9.1,128.99,130.2,123.3,8.75
2022,November,9.5,128.31,133,122.35,8.75
2022,October,9.6,127.86,133.7,121.25,8.25
2022,September,9.2,126.73,134.4,120.65,8.25
2022,August,8.5,125.58,135.7,120.1,7.5
2022,July,8.3,125.05,138.5,118.8,7.5
2022,June,7.9,124.22,152.3,117.8,7.5
2022,May,7.1,123.12,155.3,116.7,7.5
2022,April,6.5,122.17,155.4,115.7,7
2022,March,5.6,120.14,156.8,114.9,7
2022,February,5.1,119.13,138.6,113.75,7
2022,January,5.4,118.64,132.8,113.5,7
2021,December,5.7,118.27,133,113.05,7
2021,November,5.8,117.2,134.7,112.45,7
2021,October,6.4,116.674,132.6,111.2,7
2021,September,6.9,116.077,128.5,110.4,7
2021,August,6.6,115.71,127.3,109.8,7
2021,July,6.44,115.337,123.7,108.5,7
2021,June,6.32,115.11,124.7,107.8,7
2021,May,5.87,114.977,127.7,107.6,7
2021,April,5.76,114.746,121.4,107.75,7
2021,March,5.9,113.814,118.5,109.25,7
2021,February,5.78,113.365,115.9,109.7,7
2021,January,5.69,112.576,112.9,110.05,7
2020,December,5.62,111.866,109.6,109.1,7
2020,November,5.33,110.779,106.6,110,7
2020,October,4.84,109.604,102.4,108.7,7
2020,September,4.2,108.571,99,108.4,7
2020,August,4.36,108.573,96.7,108.1,7
2020,July,4.36,108.354,94.8,107.65,7
2020,June,4.59,108.266,94.1,106.45,7
2020,May,5.33,108.602,92.1,106.7,7
2020,April,6.01,108.495,93.4,107.15,7
2020,March,5.84,107.475,96.2,105.1,7.25
2020,February,7.17,107.174,100.7,101.1,8.25
2020,January,5.78,205.4,103.6,100.3,8.25
2019,December,5.82,204.77,101.4,101.25,8.5
2019,November,5.56,202.94,98.8,102.5,8.5
2019,October,4.95,202.12,95.6,103.2,9
2019,September,3.83,201.57,93.8,103.75,9
2019,August,5,201.78,94.4,103.4,9
2019,July,6.27,203.61,95.6,104.05,9
2019,June,5.7,204.34,95.9,102.3,9
2019,May,5.49,205.77,94.7,101.2,9
2019,April,6.58,205.9,94,101.1,9
2019,March,4.35,198.91,93.5,100.7,9
2019,February,4.14,195.78,94.4,99.85,9
2019,January,4.7,194.18,93.6,100.7,9
2018,December,5.71,193.51,90.4,101.8,9
2018,November,5.58,192.25,90.3,102.5,9
2018,October,5.53,192.6,91.5,102,9
2018,September,5.7,194.14,92.3,100.7,9
2018,August,4.04,192.18,94.1,100.6,9
2018,July,4.35,191.59,93.3,100.4,9
2018,June,4.28,193.31,95.1,100.8,9.5
2018,May,3.95,195.05,96.8,101.2,9.5
2018,April,3.73,193.18,96.6,100.2,9.5
2018,March,4.18,190.62,97.1,100.9,9.5
2018,February,4.46,188,96,101.3,10
2018,January,4.83,185.47,95,102,10
2017,December,4.5,183.05,99.1,103.1,10
2017,November,4.73,182.08,101.6,102.95,10
2017,October,5.72,182.5,101.7,103.7,10
2017,September,7.06,183.66,102.5,103.1,10
2017,August,8.04,184.72,102.1,102.8,10
2017,July,7.47,183.6,102.9,103.9,10
2017,June,9.21,185.39,100.5,103.6,10
2017,May,11.7,187.64,100.1,103.3,10
2017,April,11.48,186.24,97.7,103.1,10
2017,March,10.28,182.98,98.9,103.1,10
2017,February,9.04,179.98,100.9,102.8,10
2017,January,6.99,176.93,100.6,103.7,10
2016,December,6.35,175.18,101.4,102.37,10
2016,November,6.68,173.85,102.1,101.7,10
2016,October,6.47,172.62,102,101.5,10
2016,September,6.34,171.56,102.3,101.2,10
2016,August,6.26,170.97,101.4,101.15,10
2016,July,6.39,170.84,98.9,101.3,10.5
2016,June,5.8,169.76,99.8,101,10.5
2016,May,5,167.99,96.4,100.7,10.5
2016,April,5.27,167.07,94.8,100.9,11.5
2016,March,6.45,165.92,93,101.4,11.5
2016,February,7.09,165.06,91.6,101.8,11.5
2016,January,7.78,165.37,90.4,102.3,11.5
2015,December,8.01,164.72,88.9,102.2,11.5
2015,November,7.32,162.97,89.7,102.1,11.5
2015,October,6.72,162.13,92.3,101.9,11.5
2015,September,5.97,161.33,90.9,104.6,11.5
2015,August,5.84,160.9,91.5,103.75,11.5
2015,July,6.62,160.57,95.9,102.3,11.5
2015,June,7.03,160.46,96.7,99.22,10
2015,May,6.87,159.98,97.2,97.65,8.5
2015,April,7.08,158.7,96.7,94.5,8.5
2015,March,6.31,155.86,97.9,92.3,8.5
2015,February,5.61,154.14,100.9,91.3,8.5
2015,January,5.53,153.43,103.2,91.5,8.5
