Commodity Name,"Units of
Measure",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kale-Sukuma Wiki,1 Kg,,,,,,,,,,
Cabbages,1 Kg,,,,,,,,,,
Tomatoes,1 Kg,,,,,,,,,,
Fresh Packeted Milk,500 Ml,,,,,,,,,,
"Fresh Unpacketed
Milk",1000 ml,,,,,,,,,,
Carrots,1 Kg,,,,,,,,,,
Mangoes,1 Kg,,,,,,,,,,
Wheat Flour,2 Kg,,,,,,,,,,
Maize Grain - Loose,1 Kg,,,,,,,,,,
Maize Flour - Sifted,2 Kg,,,,,,,,,,
Electricity,50 KW/h,,,,,,,,,,
Electricity,"200
KW/h",,,,,,,,,,
Kerosene,1 litre,,,,,,,,,,
Gas (LPG),13 Kg,,,,,,,,,,
Diesel,1 litre,,,,,,,,,,
Country Bus Fares,350 Km,,,,,,,,,,
Matatu Fares,250 Km,,,,,,,,,,
Petrol,1 litre,,,,,,,,,,
