Commodity Name,"Units of
Measure","Average
Price July
2016","Average
Price June
2017","Average
Price July
2017","% Change
on last
month","% Change on
same month
last year"
Potatoes (Irish),1 Kg,76.90,72.15,56.75,-21.34,-26.20
Sugar,1 Kg,115.42,156.28,150.16,-3.9,30.1
Tomatoes,1 Kg,90.00,90.31,86.83,-3.9,-3.5
Milk - Fresh Packeted,500 Ml,53.17,61.73,60.35,-2.2,13.5
Cabbages,1 Kg,64.63,59.07,54.54,-7.7,-15.6
Maize Flour - Sifted,2 Kg,113.07,119.08,116.56,-2.1,3.1
Maize Grain - Loose,1 kg,43.1,65.3,63.9,-2.1,48.3
Onions,1 Kg,144.18,133.51,128.08,-4.1,-11.2
Spinach,1 Kg,48.45,51.62,48.30,-6.4,-0.3
Kale-Sukuma Wiki,1 Kg,41.04,42.68,42.17,-1.2,2.7
Rice Grade 1,1 Kg,180.65,199.99,203.10,1.6,12.4
Wheat Flour,2 Kg,121.54,129.62,132.21,2.0,8.8
Mangoes,1 Kg,102.62,150.44,159.28,5.9,55.2
Gas -(LPG),13 Kg,"2,099.28","2,112.19","2,073.62",-1.8,-1.2
Rent,"One
room","3,980.0","4,108.7","4,108.7",0,3.2
Kerosene,1 litre,62.42,66.04,63.55,-3.8,1.8
Charcoal,4 Kg,78.71,81.70,81.61,-0.1,3.7
Electricity,50 Kwh,525.02,576.57,576.07,-0.1,9.7
Electricity,200 Kwh,"3,361.58","3,644.66","3,642.66",-0.1,8.4
Petrol,1 litre,93.81,99.68,98.00,-1.7,4.5
Diesel,1 litre,84.20,87.95,85.45,-2.8,1.5
