Commodity Name,Units,Apr-17,Mar-18,Apr-18,"% Change
over a
month ago","% Change
over a Year
ago"
Maize Flour - Sifted,2 Kg,135.87,124.51,124.01,(0.41),(8.73)
Milk - Fresh Unpacketed,1000 ml,60.83,61.17,60.82,(0.58),(0.02)
Coriander Leaves (Dania),100 G,110.96,108.49,107.01,(1.36),(3.56)
Peas,1 Kg,149.34,158.65,162.23,2.26,8.64
Beef - With Bones,1 Kg,401.97,433.71,434.60,0.20,8.12
Onions,1 Kg,125.28,167.58,177.01,5.63,41.29
Kerosene,1 litre,65.44,78.41,77.68,(0.94),18.70
Gas -(LPG),13 Kg,"2,063.95","2,169.19","2,172.82",0.17,5.28
Rent,1 Room,"4,108.70","4,298.98","4,307.18",0.19,4.83
Electricity,200 Kwh,"3,700.34","4,262.10","4,322.10",1.41,16.80
Electricity,50 Kwh,590.49,730.93,745.93,2.05,26.32
Charcoal,4 Kg,80.80,107.36,125.48,16.87,55.30
Petrol,1 litre,99.01,108.33,107.70,(0.58),8.78
Diesel,1 litre,89.70,98.82,98.82,(0.01),10.16
