Commodity Name,"Units of
measure","Average price -
December
2017","Average price
-November
2018","Average price -
December
2018","% Change
over last
month (Dec
18/Nov 18)","% Change
over a year
ago (Dec
18/Dec17)"
Carrots,1 Kg,53.14,5 6.06,61.03,8.86,14.86
Tomatoes,1 Kg,94.52,6 6.93,75.74,13.17,-19.87
Capsicums (Pilipili Hoho),1 Kg,102.55,123.62,125.87,1.82,22.74
Maize Flour - Sifted,2 Kg,101.97,8 4.32,86.55,2.64,-15.12
Chicken,1 Kg,617.83,646.50,659.94,2.08,6.81
Onions,1 Kg,130.65,8 3.66,85.66,2.39,-34.44
Maize Grain - Loose,1 Kg,57.29,3 4.25,35.05,2.34,-38.82
Wheat Flour,2 Kg,135.32,122.45,123.86,1.14,-8.47
Beef - With Bones,1 Kg,428.15,445.91,447.47,0.35,4.51
Mutton/Goat Meat,1 Kg,486.63,509.36,510.94,0.31,5.00
Offals - Matumbo,1 Kg,257.50,267.39,267.67,0.10,3.95
Cabbages,1 Kg,34.72,3 9.66,38.02,-4.14,9.50
Kale-Sukuma Wiki,1 Kg,43.67,4 4.62,43.24,-3.16,-0.99
Potatoes (Irish),1 Kg,54.40,7 7.80,75.17,-3.38,38.17
Beer,500 Ml,158.22,170.73,171.18,0.26,8.19
Charcoal,4 Kg,83.04,141.12,141.31,0.13,70.16
House rent,1 Room,"4,253.78","4,431.55","4 ,436.45",0.11,4.29
Electricity,50 Kwh,649.73,757.72,757.72,0.00,16.62
Electricity,200 Kwh,"3,937.30","4,434.48","4 ,434.48",0.00,12.63
Kerosene,1 litre,72.42,109.25,106.15,-2.84,46.58
Local Flight,Return fares,"17,926.06","19,760.87","21,230.18",7.44,18.43
Country Bus Fares,350 Km,"1,059.56","1,183.59","1 ,245.94",5.27,17.59
Diesel,1 litre,92.44,108.97,111.89,2.68,21.04
Matatu Fares,250 Km,407.96,431.00,436.63,1.31,7.03
International Flights,Return fares,"110,674.11","119,791.45","120,546.86",0.63,8.92
