Commodity Name,Units,Jun-17,May-18,Jun-18,"% Change
over a
month ago","% Change
over a year
ago"
Kale-Sukuma Wiki,1 Kg,42.68,56.02,57.87,3.30,35.59
Cabbages,1 Kg,59.07,41.91,39.34,-6.14,-33.40
Banana - ripe,1 Kg,89.71,108.46,108.06,-0.37,20.45
Pawpaw,1 Kg,1 02.17,117.72,117.04,-0.58,14.55
Maize Grain - Loose,1 Kg,65.27,58.10,53.09,-8.63,-18.67
Potatoes (Irish),1 Kg,72.15,68.67,58.31,-15.08,-19.18
Onions,1 Kg,1 33.51,180.74,147.84,-18.20,10.73
Green Maize,I Cobb,41.43,44.32,32.86,-25.85,-20.68
Charcoal,4 Kg,81.70,135.64,138.13,1.83,69.07
House rent,Single room,"4,108.70","4,310.68","4,335.75",0.58,5.53
Kerosene,1 litre,66.04,79.18,85.05,7.42,28.78
Electricity,200 KWh,"3,644.66","4,322.10","4,106.34",-4.99,12.67
Electricity,50 KWh,5 76.57,745.93,691.99,-7.23,20.02
Diesel,1 litre,87.95,99.60,104.55,4.98,18.88
Petrol,1 litre,99.68,108.04,109.67,1.51,10.02
