Commodity Name,Units,May-17,Apr-18,May-18,"% Change
over a
month ago","% Change
over a year
ago"
Tomatoes,1 Kg,99.23,104.26,120.39,15.47,21.33
Spinach,1 Kg,51.53,65.51,69.12,5.50,34.13
Carrots,1 Kg,84.11,59.89,62.07,3.65,-26.20
Onions,1 Kg,133.44,177.01,180.74,2.11,35.45
Potatoes (Irish),1 Kg,84.95,67.33,68.67,1.99,-19.17
Kale-Sukuma Wiki,1 Kg,46.61,55.12,56.02,1.63,20.19
Sugar,1 Kg,168.18,131.22,129.50,-1.31,-23.00
Orange,1 Kg,97.03,92.99,90.69,-2.48,-6.54
Loose Maize Flour,1 Kg,67.95,62.74,59.99,-4.38,-11.72
Kerosene,1 litre,66.26,77.68,79.18,1.93,19.49
Charcoal,4 Kg,81.37,123.69,135.64,9.66,66.69
Rent,1 Room,"4,108.70","4,307.18","4,310.68",0.08,4.92
Gas - (LPG),13 Kg,"2,104.29","2,172.18","2,164.43",-0.36,2.86
Electricity,200 Kwh,"3,633.06","4,322.10","4,178.26",-3.33,15.01
Electricity,50 Kwh,573.67,745.93,709.97,-4.82,23.76
Petrol,1 litre,100.48,107.70,108.04,0.31,7.52
Diesel,1 litre,89.02,99.82,99.60,-0.22,11.88
