Quantity,"Unit of
Measure","Average Price
April 2022","Average Price
March 2023","Average Price
April 2023","% Change over
last month
April 2023/
March 2023"
1,Kg,88.40,99.01,106.18,7 .2
1,Kg,134.47,173.62,182.33,5 .0
1,Kg,109.63,114.57,118.60,3 .5
1,Kg,139.19,121.04,123.65,2 .2
1,Kg,130.46,156.18,159.10,1 .9
1,Kg,60.95,77.63,78.87,1 .6
1,Kg,508.49,535.68,542.28,1 .2
500,Gram,165.81,177.45,173.72,(2.1)
1,Kg,53.57,65.17,62.16,(4.6)
1,Kg,112.69,113.12,107.82,(4.7)
1,Kg,63.55,71.87,63.36,(11.8)
1,Kg,72.80,78.99,69.03,(12.6)
1,Per Month,"17,280.49","17,809.82","17,844.65",0 .2
1,Litre,114.36,146.86,146.86,-
200,Kilowatts,"4,373.12","5,584.72","6,349.80",13.7
50,Kilowatts,796.83,"1,099.73","1,304.92",18.7
1,Litre,145.52,180.05,180.05,-
1,Litre,126.45,162.91,162.91,-
