Quantity,"Unit of
Measure","Average Price
July 2022","Average Price
June 2023","Average Price
July 2023","% Change over
last month July
2023/
June 2023"
1,Kg,81.66,101.41,89.07,(12.2)
1,Kg,1 11.38,111.66,1 00.43,(10.1)
1,Kg,1 10.79,126.67,1 16.21,( 8.3)
1,Kg,50.40,58.40,53.67,( 8.1)
1,Kg,1 05.31,121.29,1 13.87,( 6.1)
1,Kg,69.89,77.41,75.24,( 2.8)
1,Kg,2 05.54,238.48,2 34.04,( 1.9)
1,Kg,70.02,66.45,65.36,( 1.6)
1,Kg,1 41.42,190.68,1 87.67,( 1.6)
2,Kg,1 89.06,190.67,1 88.44,( 1.2)
250,Millilitre,73.54,79.28,78.41,( 1.1)
1,Kg,1 27.12,139.52,1 55.38,11.4
13,Kg,"3,100.67","3,069.01","2,787.83",( 9.2)
50,Kilowatts,7 96.83,"1,394.22","1,320.50",( 5.3)
200,Kilowatts,"4,373.12","6,707.02","6,411.62",( 4.4)
1,Per Month,"12,330.82","12,511.87","12,557.25",0.4
1,Litre,1 28.86,162.19,1 70.25,5.0
1,Litre,1 59.94,182.63,1 95.32,6.9
1,Litre,1 40.91,167.98,1 80.42,7.4
1,Ticket,50.00,60.00,70.00,16.7
