Quantity,"Unit of
Measure","Average Price
May 2022","Average Price
April 2023","Average Price
May 2023","% Change over
last month
May 2023/
April 2023"
1,Kg,130.27,159.10,194.29,22.1
1,Kg,88.98,104.70,111.28,6.3
1,Kg,142.17,123.65,129.99,5.1
1,Kg,135.63,182.33,188.88,3.6
1,Kg,62.45,78.87,81.61,3.5
2,Kg,466.78,552.66,548.25,(0.8)
2,Kg,165.89,185.49,189.78,2.3
1,Kg,89.14,106.18,107.98,1.7
1,Kg,513.07,542.28,551.30,1.7
1,Kg,112.35,107.82,104.98,(2.6)
1,Kg,74.27,84.39,80.67,(4.4)
1,Kg,51.44,62.16,58.59,(5.7)
1,Kg,60.39,63.36,58.66,(7.4)
1,Litre,119.86,146.86,161.83,10.2
1,Per Month,"3 ,823.63","3,927.62","3,948.68",0.5
200,Kilowatts,"4 ,373.12","6,349.80","6,436.28",1.4
50,Kilowatts,796.83,1304.915,1326.535,1.7
13,Kg,"3 ,176.88","3,135.39","3,125.40",(0.3)
1,Litre,131.91,162.91,169.10,3.8
1,Litre,150.94,180.05,183.29,1.8
