Quantity,"Unit of
Measure","Average
Price June
2023","Average
Price May
2024","Average
Price June
2024","% Change
over last
month June
2024/
May 2024"
1,Kg,7 7.41,9 2.98,90.66,(2.5)
1,Kg,2 04.76,1 72.72,168.59,(2.4)
2,Kg,2 01.97,1 37.70,134.89,(2.0)
2,Kg,2 25.95,1 55.42,152.38,(2.0)
1,Kg,1 16.53,1 82.11,178.70,(1.9)
1,Kg,9 0.91,6 4.86,63.76,(1.7)
2,Kg,2 01.12,1 83.69,180.95,(1.5)
1,Kg,8 6.13,6 1.94,61.17,(1.2)
1,Litre,3 18.43,3 28.46,326.36,(0.6)
1,Kg,9 7.66,1 02.74,106.93,4.1
1,Kg,9 6.17,1 10.07,115.98,5.4
1,Kg,5 7.07,7 4.90,82.94,10.7
1,Kg,6 6.45,8 8.37,98.40,11.3
1,Kg,5 8.40,6 3.18,72.52,14.8
1,Litre,1 62.19,1 69.52,163.82,(3.4)
13,Kg,"3,069.01","3,221.29","3 ,213.97",(0.2)
1,Per Month,"3,948.33","4,101.46","4 ,102.95",0.0
200,kWh,"6,707.02","6,076.76","6 ,250.90",2.9
50,kWh,"1,394.22","1,277.19","1 ,320.73",3.4
1,Litre,1 67.98,1 79.91,173.83,(3.4)
1,Litre,1 82.63,1 93.46,190.46,(1.6)
