Quantity,"Unit of
Measure","Average Price
March 2023","Average Price
February 2024","Average Price
March 2024","% Change
over last
month
March 2024/
February
2024"
1,Kg,101.10,150.63,1 67.28,11.1
1,Kg,88.59,9 9.40,1 07.34,8.0
1,Kg,99.01,101.86,1 09.74,7.7
1,Kg,77.49,8 6.27,8 8.53,2.6
1,Kg,65.17,6 1.84,6 2.97,1.8
1,Kg,86.38,8 6.01,8 7.52,1.8
1,Kg,535.68,621.22,6 24.68,0.6
1,Kg,83.02,107.69,1 04.67,-2.8
2,Kg,196.04,200.41,1 90.72,-4.8
1,Kg,77.63,6 8.67,6 5.31,-4.9
2,Kg,208.19,172.75,1 63.94,-5.1
1,Kg,156.18,200.01,1 89.45,-5.3
2,Kg,183.97,154.54,1 45.57,-5.8
1,Kg,84.22,7 4.11,6 7.02,-9.6
13,Kg,"3,137.70","3,187.10","3,231.84",1.4
1,Per Month,"3,935.39","4,069.91","4,087.36",0.4
200,kWh,"5,584.72","6,753.47","6,730.20",-0.3
50,kWh,"1,099.73","1,406.00","1,400.00",-0.4
1,Litre,146.86,193.96,1 89.48,-2.3
1,Litre,162.91,196.21,1 91.11,-2.6
1,Litre,180.05,206.97,1 99.77,-3.5
