Quantity,"Unit of
Measure","Average Price
May 2023","Average Price
April 2024","Average Price
May 2024","% Change
over last
month May
2024/
April 2024"
2,Kg,191.44,142.19,137.70,(3.2)
2,Kg,214.24,159.01,155.42,(2.3)
1,Kg,81.61,62.98,61.94,(1.6)
2,Kg,200.18,186.03,183.69,(1.3)
1,Kg,194.29,173.70,172.72,(0.6)
1,Kg,551.30,625.84,628.50,0.4
2,Kg,435.69,465.84,469.69,0.8
1,Kg,78.07,92.07,92.98,1.0
1,Kg,188.88,183.51,187.02,1.9
1,Kg,108.58,177.02,182.11,2.9
1,Kg,107.98,111.82,118.74,6.2
1,Kg,80.17,91.25,104.00,1 4.0
1,Kg,58.66,65.13,74.90,1 5.0
1,Kg,67.51,74.78,88.37,1 8.2
1,Litre,161.83,171.18,169.52,(1.0)
13,Kg,"3,125.40","3 ,242.11","3 ,221.29",(0.6)
1,Per Month,"3,948.68","4 ,089.24","4 ,101.46",0.3
1,Kg,70.47,79.50,82.32,3.5
50,kWh,"1,304.92","1,326.54","1,400.00",5.5
200,kWh,"6,436.28","6,297.78","6,730.20",6.9
1,Litre,169.10,181.11,179.91,(0.7)
1,Litre,183.29,194.46,193.46,(0.5)
